ENEAS	ADVgen	ens
ne	ADVneg	ne
lor	PROper	il
avoit	VERcjg	avoir
mestier	NOMcom	mestier
parage	NOMcom	parage
ne	CONcoo	ne
hardemant	NOMcom	hardement
ne	CONcoo	ne
vasalage	NOMcom	vassalage
,	PONfbl	,
et	CONcoo	et
nen	ADVneg	ne
estoit	VERcjg	estre
leus	NOMcom	lieu
de	PRE	de
deffendre	VERinf	défendre
.	PONfrt	.

Tote	ADVgen	tot
ert	VERcjg	être
la	DETdef	le
vile	NOMcom	vile
mise	VERppe	metre
en	PRE	en
cendre	NOMcom	cendre
.	PONfrt	.

Ocis	VERppe	occire
i	PROadv	i
fu	VERcjg	estre
li	DETdef	le
reis	NOMcom	roi
Prianz	NOMpro	Prian
o	PRE	o
sa	DETpos	son
fame	NOMcom	feme
,	PONfbl	,
o	PRE	o
ses	DETpos	son
anfanz	NOMcom	enfant
:	PONfbl	:
unc	ADVgen	onques
ne	ADVneg	ne
fu	VERcjg	estre
mais	ADVgen	mais
tant	ADVgen	tant
grant	ADJqua	grant
ocise	VERppe	ocire
.	PONfrt	.

Menelaus	NOMpro	Manelaut
a	VERcjg	avoir
vanjance	NOMcom	vengeance
prise	VERppe	prendre
:	PONfbl	:
toz	DETind	tot
fist	VERcjg	faire
les	DETdef	le
murs	NOMcom	mur
aplanoier	VERinf	aplanoiier
por	PRE	por
le	DETdef	le
tort	NOMcom	tort
fait	VERppe	faire
de	PRE	de
sa	DETpos	son
moillier	NOMcom	moillier
.	PONfrt	.

A	PRE	a
une	DETndf	un
part	NOMcom	part
de	PRE	de
la	DETdef	le
cité	NOMcom	cité
tint	VERcjg	tenir
Eneas	NOMpro	Eneas
une	DETndf	un
erité	NOMcom	hérité
,	PONfbl	,
de	PRE	de
la	DETdef	le
vile	NOMcom	vile
bien	ADVgen	bien
grant	ADJqua	grant
partie	NOMcom	partie
.	PONfrt	.

Quant	CONsub	quand
il	PROper	il
a	VERcjg	avoir
cele	DETdem	cil
noise	NOMcom	noise
oïe	VERppe	öir
,	PONfbl	,
si	ADVgen	si
regarda	VERcjg	regarder
vers	PRE	vers
lo	DETdef	le
donjon	NOMcom	donjon
et	CONcoo	et
vit	VERcjg	vëoir
la	DETdef	le
grant	ADJqua	grant
destrucion	NOMcom	destructïon
;	PONfbl	;
n'	ADVneg	ne
est	VERcjg	estre
mervoille	NOMcom	merveille
s'	ADVsub	se
il	PROper	il
ot	VERcjg	avoir
peor	NOMcom	pëor
.	PONfrt	.

Venus	NOMpro	Venus
la	DETdef	le
deesse	NOMcom	desse
d'	PRE	de
amor	NOMcom	amor
,	PONfbl	,
qui	PROrel	que
est	VERcjg	estre
sa	DETpos	son
mere	NOMcom	mere
,	PONfbl	,
li	PROper	il
a	VERcjg	avoir
noncié	VERppe	noncer
que	CONsub	que
Troïen	NOMpro	Troien
sont	VERcjg	estre
trebuchié	VERppe	trebuchier
;	PONfbl	;
li	DETdef	le
deu	NOMcom	dieu
an	PROadv	en
ont	VERcjg	avoir
pris	VERppe	prendre
lor	DETpos	lor
vanjance	NOMcom	vengeance
.	PONfrt	.

Comanda	VERcjg	comander
li	PROper	il
,	PONfbl	,
sanz	PRE	sans
demorance	NOMcom	demorance
s'	PROper	soi
en	PROadv	en
tort	VERcjg	torner
,	PONfbl	,
ainz	ADVgen	ainz
quel	CONsub.PROper	que.le
prengnent	VERcjg	prendre
li	DETdef	le
Gré	NOMpro	Grec
,	PONfbl	,
et	CONcoo	et
ce	PROdem	ce
li	PROper	il
comandent	VERcjg	comander
li	DETdef	le
dé	NOMcom	dé
que	CONsub	que
il	PROper	il
aut	VERcjg	aler
la	DETdef	le
contree	NOMcom	contree
querre	VERinf	querre
dunt	PROrel	dont
Dardanus	NOMpro	Dardanus
vint	VERcjg	venir
an	PRE	en
la	DETdef	le
terre	NOMcom	terre
,	PONfbl	,
qui	PROrel	que
fonda	VERcjg	fonder
de	PRE	de
Troie	NOMpro	Troie
les	DETdef	le
murs	NOMcom	mur
.	PONfrt	.

Eneas	NOMpro	Eneas
n'	ADVneg	ne
estoit	VERcjg	estre
pas	ADVneg	pas
seürs	ADJqua	sëur
;	PONfbl	;
dous	DETcar	deux
granz	ADJqua	grant
liues	NOMcom	lieue
et	CONcoo	et
plus	ADVgen	plus
avoit	VERcjg	avoir
de	PRE	de
la	ADVgen	là
ou	PROrel	où
sa	DETpos	son
meison	NOMcom	maison
estoit	VERcjg	estre
desi	PRE	deci
la	ADVgen	là
ou	PROrel	où
li	DETdef	le
Greu	NOMpro	grieu
ardoient	VERcjg	ardre
;	PONfbl	;
bien	ADVgen	bien
set	VERcjg	savoir
qu'	CONsub	que
il	PROper	il
li	PROper	il
aprismeroient	VERcjg	approismer
,	PONfbl	,
ne	ADVneg	ne
se	PROper	soi
porroit	VERcjg	pöoir
vers	PRE	vers
als	PROper	il
deffendre	VERinf	défendre
.	PONfrt	.

Bel	ADJqua	beau
loisir	VERinf	loisir
ot	VERcjg	avoir
del	PRE.DETdef	de
suen	PROpos	son
tot	PROind	tot
prendre	VERinf	prendre
,	PONfbl	,
tote	DETind	tot
sa	DETpos	son
gent	NOMcom	gent
fist	VERcjg	faire
asenbler	VERinf	assembler
et	CONcoo	et
ses	DETpos	son
tresors	NOMcom	tresor
an	PROadv	en
fist	VERcjg	faire
porter	VERinf	porter
;	PONfbl	;
grant	ADJqua	grant
avoir	VERinf	avoir
et	CONcoo	et
grant	ADJqua	grant
manantises	NOMcom	manantise
et	CONcoo	et
granz	ADJqua	grant
richeces	NOMcom	richesse
an	PROadv	en
a	VERcjg	avoir
prises	VERppe	prendre
,	PONfbl	,
par	PRE	par
un	DETndf	un
postiz	NOMcom	postiz
s'	PROper	soi
an	PROadv	en
est	VERcjg	estre
issuz	VERppe	issir
,	PONfbl	,
bien	ADVgen	bien
en	PROadv	en
torna	VERcjg	torner
trois	DETcar	trois
mile	DETcar	mil
escuz	NOMcom	escu
;	PONfbl	;
o	CONcoo	ou
soi	PROper	soi
an	PROadv	en
fist	VERcjg	faire
porter	VERinf	porter
son	DETpos	son
pere	NOMcom	père
Anchisés	NOMpro	Anchise
,	PONfbl	,
qui	PROrel	que
molt	ADVgen	moult
vialz	ADJqua	vieil
hom	NOMcom	homme
ere	VERcjg	être
,	PONfbl	,
et	CONcoo	et
par	PRE	par
la	DETdef	le
main	NOMcom	main
mena	VERcjg	mener
son	DETpos	son
fil	NOMcom	fil
:	PONfbl	:
cil	PROdem	cel
sunt	VERcjg	être
livré	VERppe	livrer
a	PRE	a
grant	ADJqua	grant
essil	NOMcom	essil
.	PONfrt	.

Soantre	PRE	söentre
lui	PROper	il
grant	ADJqua	grant
gent	NOMcom	gent
la'n	NOMcom	laien
vait	VERcjg	aller
;	PONfbl	;
la	ADVgen	là
ou	PROrel	où
il	PROper	il
fuit	VERcjg	fuir
se	PROper	soi
sunt	VERcjg	être
atrait	VERppe	atraire
.	PONfrt	.

Quant	CONsub	quand
de	PRE	de
la	DETdef	le
vile	NOMcom	vile
sunt	VERcjg	être
estors	VERppe	estordre
,	PONfbl	,
desoz	PRE	desoz
un	DETndf	un
arbre	NOMcom	arbre
loing	ADVgen	loing
defors	ADVgen	defors
o	PRE	o
soi	PROper	soi
a	VERcjg	avoir
alïé	VERppe	allier
sa	DETpos	son
gent	NOMcom	gent
;	PONfbl	;
demande	VERcjg	demander
a	PRE	a
toz	PROind	tot
comunaument	ADVgen	communaument
s'	CONsub	se
il	PROper	il
se	PROper	soi
voldront	VERcjg	voloir
o	PRE	o
lui	PROper	il
tenir	VERinf	tenir
et	CONcoo	et
bien	NOMcom	bien
et	CONcoo	et
mal	NOMcom	mal
o	PRE	o
lui	PROper	il
sofrir	VERinf	sofrir
,	PONfbl	,
ou	CONcoo	o
s'	PROper	soi
en	PROadv	en
voldront	VERcjg	voloir
retorner	VERinf	retorner
anz	ADVgen	enz
vangier	VERinf	vengier
la	DETdef	le
mort	NOMcom	mort
de	PRE	de
lor	DETpos	lor
paranz	NOMcom	parent
;	PONfbl	;
prez	ADJqua	prest
est	VERcjg	estre
de	PRE	de
faire	VERinf	faire
lor	DETpos	lor
plaisir	VERinf	plaisir
del	PRE.DETdef	de
retorner	VERinf	retorner
ou	CONcoo	o
del	PRE.DETdef	de
foïr	VERinf	fuir
.	PONfrt	.

Cil	PROdem	cel
dïent	VERcjg	dire
tuit	PROind	tot
,	PONfbl	,
del	PRE.DETdef	de
repairier	VERinf	repairer
ne	CONcoo	ne
del	PRE.DETdef	de
combatre	VERinf	combattre
n'	ADVneg	ne
est	VERcjg	estre
mestier	NOMcom	mestier
,	PONfbl	,
car	CONcoo	car
n'	ADVneg	ne
ert	VERcjg	être
mie	ADVneg	mie
granz	ADJqua	grant
lor	DETpos	lor
esforz	NOMcom	effort
,	PONfbl	,
tost	ADVgen	tost
les	PROper	il
avroient	VERcjg	avoir
li	DETdef	le
Greu	NOMpro	grieu
morz	VERppe	morir
;	PONfbl	;
miauz	ADVgen	mieux
s'	PROper	soi
an	PROadv	en
volent	VERcjg	voler
o	PRE	o
lui	PROper	il
foïr	VERinf	fuir
que	CONsub	que
retorner	VERinf	retorner
anz	ADVgen	enz
por	PRE	por
morir	VERinf	morir
;	PONfbl	;
de	PRE	de
lui	PROper	il
firent	VERcjg	faire
segnor	NOMcom	seigneur
et	CONcoo	et
mestre	NOMcom	maistre
.	PONfrt	.

Puis	ADVgen	puis
ont	VERcjg	avoir
gardé	VERppe	garder
devers	PRE	devers
senestre	ADVgen	senestre
:	PONfbl	:
une	DETndf	un
estoyle	NOMcom	estoile
virent	VERcjg	voir
levee	VERppe	lever
qui	PROrel	que
la	DETdef	le
voie	NOMcom	voie
lor	PROper	il
a	VERcjg	avoir
mostree	VERppe	mostrer
;	PONfbl	;
de	PRE	de
devant	PRE	devant
eus	PROper	eux
vait	VERcjg	aller
vers	PRE	vers
la	DETdef	le
rive	NOMcom	rive
:	PONfbl	:
la	ADVgen	là
va	VERcjg	aler
fuiant	VERppa	fuir
la	DETdef	le
gent	NOMcom	gent
chaitive	ADJqua	chétif
.	PONfrt	.

Eneas	NOMpro	Eneas
cercha	VERcjg	chercher
les	DETdef	le
rivages	NOMcom	rivage
,	PONfbl	,
trové	VERppe	trover
i	PROadv	i
a	VERcjg	avoir
vint	PROcar	vint
de	PRE	de
lor	DETpos	lor
barges	NOMcom	barge
,	PONfbl	,
que	PROrel	que
li	DETdef	le
Greu	NOMpro	grieu
avoient	VERcjg	avoir
guerpies	VERppe	guerpir
,	PONfbl	,
bien	ADVgen	bien
atornees	VERppe	atorner
et	CONcoo	et
garnies	VERppe	garnir
.	PONfrt	.

Il	PROper	il
i	PROadv	i
antra	VERcjg	entrer
o	PRE	o
tot	DETind	tot
sa	DETpos	son
gent	NOMcom	gent
;	PONfbl	;
eve	NOMcom	aigue
dolce	ADJqua	douz
,	PONfbl	,
vin	NOMcom	vin
et	CONcoo	et
fromant	NOMcom	forment
trova	VERcjg	trover
es	PRE.DETdef	en.le
nes	NOMcom	nef
a	PRE	a
grant	ADJqua	grant
planté	NOMcom	plenté
del	PRE.DETdef	de
rivage	NOMcom	rivage
sunt	VERcjg	être
esquipé	VERppe	esquiper
,	PONfbl	,
enpaint	VERppe	empeindre
se	PROper	soi
sunt	VERcjg	être
an	PRE	en
haute	ADJqua	haut
mer	NOMcom	mer
,	PONfbl	,
car	CONcoo	car
n'	ADVneg	ne
estoit	VERcjg	estre
tens	NOMcom	temps
de	PRE	de
demorer	VERinf	demorer
.	PONfrt	.

Juno	NOMpro	Juno
,	PONfbl	,
qui	PROrel	que
ert	VERcjg	être
del	PRE.DETdef	de
ciel	NOMcom	ciel
deesse	NOMcom	desse
,	PONfbl	,
estoit	VERcjg	estre
vers	PRE	vers
aus	PROper	il
molt	ADVgen	moult
felenesse	ADJqua	felon
;	PONfbl	;
formant	ADVgen	forment
avoit	VERcjg	avoir
coilli	VERppe	coillir
an	PRE	en
hé	NOMcom	hé
toz	DETind	tot
çaus	PROdem	cil
de	PRE	de
Troie	NOMpro	Troie
la	DETdef	le
cité	NOMcom	cité
del	PRE.DETdef	de
jugemant	NOMcom	jugement
que	PROrel	que
fist	VERcjg	faire
Paris	NOMpro	Paris
:	PONfbl	:
por	PRE	por
lui	PROper	il
haoit	VERcjg	häir
tot	DETind	tot
le	DETdef	le
païs	NOMcom	päis
.	PONfrt	.

L'	DETdef	le
acheison	NOMcom	ochaison
de	PRE	de
cel	DETdem	cil
jugemant	NOMcom	jugement
voil	VERcjg	vouloir
reconter	VERinf	reconter
asez	ADVgen	assez
briemant	ADVgen	briément
.	PONfrt	.

Juno	NOMpro	Juno
et	CONcoo	et
Pallas	NOMpro	Pallas
a	PRE	a
un	DETndf	un
jor	NOMcom	jor
,	PONfbl	,
Venus	NOMpro	Venus
la	DETdef	le
deesse	NOMcom	desse
d'	PRE	de
amor	NOMcom	amor
,	PONfbl	,
estoient	VERcjg	être
a	PRE	a
un	DETndf	un
parlemant	NOMcom	parlement
.	PONfrt	.

Discorde	NOMcom	discorde
i	PROadv	i
sorvint	VERcjg	sorvenir
sodemant	ADVgen	sodement
;	PONfbl	;
une	DETndf	un
pome	NOMcom	pome
d'	PRE	de
or	NOMcom	or
lor	PROper	il
gita	VERcjg	jeter
antr'	PRE	entre
eles	PROper	il
trois	ADJcar	trois
,	PONfbl	,
puis	ADVgen	puis
s'	PROper	soi
an	PROadv	en
ala	VERcjg	aller
;	PONfbl	;
il	PROimp	il
i	PROadv	i
ot	VERcjg	avoir
escrit	VERppe	écrire
an	PRE	en
grezois	NOMcom	gregois
qu'	PROrel	que
a	PRE	a
la	DETdef	le
plus	ADVgen	plus
bele	ADJqua	bel
d'	PRE	de
eles	PROper	il
trois	ADJcar	trois
faisoit	VERcjg	faire
de	PRE	de
la	DETdef	le
pome	NOMcom	pome
lo	DETdef	le
don	NOMcom	don
.	PONfrt	.

Antr'	PRE	entre
eles	PROper	il
en	PROadv	en
ot	VERcjg	avoir
grant	ADJqua	grant
tençon	NOMcom	tançon
,	PONfbl	,
chascune	PROind	chascun
la	PROper	il
voloit	VERcjg	voloir
avoir	VERinf	avoir
,	PONfbl	,
mais	CONcoo	mais
par	PRE	par
autre	PROind	autre
voltrent	VERcjg	vouloir
savoir	VERinf	savoir
lo	DETdef	le
jugemant	NOMcom	jugement
,	PONfbl	,
cui	PROrel	que
ert	VERcjg	être
la	DETdef	le
pome	NOMcom	pome
.	PONfrt	.

As	ADVgen	es
ne	ADVneg	ne
sorent	VERcjg	savoir
trover	VERinf	trover
nul	DETind	nul
home	NOMcom	ome
qui	PROrel	que
miauz	ADVgen	mieux
en	PROadv	en
sache	VERcjg	savoir
dire	VERinf	dire
droit	ADJqua	droit
que	CONsub	que
Paris	NOMpro	Paris
,	PONfbl	,
qui	PROrel	que
el	PRE.DETdef	en
bois	NOMcom	bois
estoit	VERcjg	estre
.	PONfrt	.

La	DETdef	le
parole	NOMcom	parole
li	PROper	il
unt	VERcjg	avoir
mostree	VERppe	mostrer
de	PRE	de
la	DETdef	le
pome	NOMcom	pome
,	PONfbl	,
qui	PROrel	que
ert	VERcjg	être
donee	VERppe	doner
a	PRE	a
la	DETdef	le
plus	ADVgen	plus
bele	ADJqua	bel
d'	PRE	de
eles	PROper	il
trois	ADJcar	trois
;	PONfbl	;
a	PRE	a
lui	PROper	il
,	PONfbl	,
qui	PROrel	que
molt	ADVgen	moult
savoit	VERcjg	savoir
des	PRE.DETdef	de.le
lois	NOMcom	loi
,	PONfbl	,
por	PRE	por
jugier	VERinf	jugier
an	PROadv	en
erent	VERcjg	être
venues	VERppe	venir
.	PONfrt	.

Paris	NOMpro	Paris
les	PROper	il
a	VERcjg	avoir
bien	ADVgen	bien
coneües	VERppe	conoistre
;	PONfbl	;
chascune	PROind	chascun
d'	PRE	de
eles	PROper	il
esgarda	VERcjg	esgarder
et	CONcoo	et
longuemant	ADVgen	longement
les	PROper	il
avisa	VERcjg	aviser
;	PONfbl	;
porpansa	VERcjg	porpenser
soi	PROper	soi
que	CONsub	que
jugemant	NOMcom	jugement
ne	ADVneg	ne
feroit	VERcjg	faire
pas	ADVneg	pas
hastivemant	ADVgen	hastivement
sanz	PRE	sans
grant	ADJqua	grant
porpens	NOMcom	porpens
,	PONfbl	,
et	CONcoo	et
rova	VERcjg	rover
lor	PROper	il
a	PRE	a
lui	PROper	il
reviegnent	VERcjg	revenir
al	PRE.DETdef	à.le
tierz	ADJord	tierz
jor	NOMcom	jor
,	PONfbl	,
si	ADVgen	si
s'	PROper	soi
en	PROadv	en
sera	VERcjg	estre
miauz	ADVgen	mieux
porpansez	VERppe	porpenser
;	PONfbl	;
dunc	ADVgen	donc
jugera	VERcjg	juger
de	PRE	de
lor	DETpos	lor
biautez	NOMcom	biauté
.	PONfrt	.

Par	PRE	par
grant	ADJqua	grant
angin	NOMcom	engin
lo	PROper	le
fist	VERcjg	faire
Paris	NOMpro	Paris
,	PONfbl	,
que	CONsub	que
il	PROper	il
lor	PROper	il
a	VERcjg	avoir
lo	DETdef	le
terme	NOMcom	terme
mis	VERppe	metre
:	PONfbl	:
porpansa	VERcjg	porpenser
soi	PROper	soi
que	CONsub	que
antretant	ADVgen	entretant
l'	PROper	il
an	PROadv	en
vanroient	VERcjg	venir
ofres	NOMcom	ofre
avant	ADVgen	avant
,	PONfbl	,
et	CONcoo	et
porroit	VERcjg	pöoir
an	PROadv	en
de	PRE	de
son	DETpos	son
prou	NOMcom	pro
faire	VERinf	faire
.	PONfrt	.

Eles	PROper	elle
se	PROper	soi
mistrent	VERcjg	mettre
el	PRE.DETdef	en
repaire	NOMcom	repaire
.	PONfrt	.

Voir	ADJqua	voir
ot	VERcjg	avoir
pansé	VERppe	penser
;	PONfbl	;
Juno	NOMpro	Juno
premiere	ADJord	premier
est	VERcjg	estre
revenue	VERppe	revenir
a	PRE	a
lui	PROper	il
ariere	ADVgen	arrière
,	PONfbl	,
et	CONcoo	et
promist	VERcjg	promettre
li	DETdef	le
car	NOMcom	chair
li	PROper	il
donroit	VERcjg	doner
plus	ADVgen	plus
que	CONsub	que
ses	DETpos	son
pere	NOMcom	père
ne	ADVneg	ne
avoit	VERcjg	avoir
,	PONfbl	,
et	CONcoo	et
molt	ADVgen	moult
par	ADVgen	par
lo	PROper	le
feroit	VERcjg	faire
riche	ADJqua	riche
home	NOMcom	ome
,	PONfbl	,
mais	ADVgen	mais
qu'	CONsub	que
il	PROper	il
li	PROper	il
otroiast	VERcjg	octroyer
la	DETdef	le
pome	NOMcom	pome
et	CONcoo	et
afichast	VERcjg	afficher
por	PRE	por
verité	NOMcom	verité
que	CONsub	que
ele	PROper	il
aüst	VERcjg	avoir
graignor	ADJqua	graignor
biauté	NOMcom	biauté
.	PONfrt	.

Retorna	VERcjg	retourner
s'	PROper	soi
an	PROadv	en
;	PONfbl	;
aneslopas	ADVgen	aneslop
an	PROadv	en
est	VERcjg	estre
venue	VERppe	venir
a	PRE	a
lui	PROper	il
Pallas	NOMpro	Pallas
,	PONfbl	,
qui	PROrel	que
est	VERcjg	estre
deesse	NOMcom	desse
de	PRE	de
bataille	NOMcom	bataille
,	PONfbl	,
et	CONcoo	et
pria	VERcjg	prier
li	PROper	il
que	CONsub	que
ne	ADVneg	ne
li	PROper	il
faille	VERcjg	falir
,	PONfbl	,
a	PRE	a
li	PROper	il
se	PROper	soi
tiegne	VERcjg	tenir
au	PRE.DETdef	a
jugemant	NOMcom	jugement
,	PONfbl	,
et	CONcoo	et
al	PROper	il
li	PROper	il
donra	VERcjg	doner
hardemant	NOMcom	hardement
et	CONcoo	et
tel	DETind	tel
pris	NOMcom	pris
de	PRE	de
chevalerie	NOMcom	chevalerie
,	PONfbl	,
ne	ADVneg	ne
trovera	VERcjg	trover
ja	ADVgen	ja
an	PRE	en
sa	DETpos	son
vie	NOMcom	vie
nul	DETind	nul
meillor	ADJqua	meillor
de	PRE	de
soi	PROper	soi
ne	CONcoo	ne
son	DETpos	son
per	NOMcom	pair
;	PONfbl	;
ja	ADVgen	ja
nel	ADVneg.PROper	ne
porra	VERcjg	pöoir
huem	NOMcom	homme
sormonter	VERinf	sormonter
.	PONfrt	.

Pallas	NOMpro	Pallas
s'	PROper	soi
an	PROadv	en
va	VERcjg	aler
,	PONfbl	,
Venus	NOMpro	Venus
revient	VERcjg	revenir
,	PONfbl	,
qui	PROrel	que
la	DETdef	le
bataille	NOMcom	bataille
d'	PRE	de
amor	NOMcom	amor
tient	VERcjg	tenir
et	CONcoo	et
dame	NOMcom	dame
an	PROadv	en
estoit	VERcjg	estre
et	CONcoo	et
deesse	NOMcom	desse
.	PONfrt	.

Cele	PROdem	cel
li	PROper	il
a	VERcjg	avoir
fait	VERppe	faire
tel	DETind	tel
promesse	NOMcom	promesse
:	PONfbl	:
s'	CONsub	se
a	PRE	a
li	PROper	il
se	PROper	soi
tient	VERcjg	tenir
del	PRE.DETdef	de
jugemant	NOMcom	jugement
,	PONfbl	,
el	PROper	il
li	PROper	il
donra	VERcjg	doner
prochenemant	ADVgen	prochainement
la	DETdef	le
plus	ADVgen	plus
bele	ADJqua	bel
fame	NOMcom	feme
del	PRE.DETdef	de
mont	NOMcom	monde
.	PONfrt	.

Vait	VERcjg	aller
s'	PROper	soi
en	PROadv	en
;	PONfbl	;
des	PRE.DETdef	de.le
ofres	NOMcom	ofre
qu'	PROrel	que
els	PROper	eux
li	PROper	il
font	VERcjg	faire
se	PROper	soi
porpansa	VERcjg	porpenser
an	PRE	en
maint	DETind	maint
androit	NOMcom	endroit
al	PRE.DETdef	à.le
quel	PROrel	quel
de	PRE	de
ces	DETdem	ce
trois	PROcar	trois
se	PROper	soi
tenroit	VERcjg	tenir
;	PONfbl	;
car	CONcoo	car
molt	ADVgen	moult
coveita	VERcjg	covoitier
la	DETdef	le
richece	NOMcom	richesse
et	CONcoo	et
molt	ADVgen	moult
desirra	VERcjg	desirrer
la	DETdef	le
proece	NOMcom	prouesse
,	PONfbl	,
mais	CONcoo	mais
molt	ADVgen	moult
li	PROper	il
plot	VERcjg	plaire
la	DETdef	le
feme	NOMcom	femme
plus	ADVgen	plus
que	CONsub	que
promise	VERppe	prometre
li	PROper	il
ot	VERcjg	avoir
Venus	NOMpro	Venus
.	PONfrt	.

Les	DETdef	le
deesses	NOMcom	desse
ne	ADVneg	ne
s'	PROper	soi
atardierent	VERcjg	atargier
,	PONfbl	,
mais	CONcoo	mais
a	PRE	a
lor	DETpos	lor
terme	NOMcom	terme
repairerent	VERcjg	repairer
;	PONfbl	;
lo	DETdef	le
jugemant	NOMcom	jugement
ont	VERcjg	avoir
demandé	VERppe	demander
.	PONfrt	.

Que	PROrel	que
que	PROrel	que
Paris	NOMpro	Paris
an	PROadv	en
ait	VERcjg	avoir
doté	VERppe	doter
,	PONfbl	,
la	DETdef	le
pome	NOMcom	pome
d'	PRE	de
or	NOMcom	or
dona	VERcjg	doner
Venus	NOMpro	Venus
et	CONcoo	et
juja	VERcjg	juger
qu'	CONsub	que
ele	PROper	il
valoit	VERcjg	valoir
plus	ADVgen	plus
que	CONsub	que
les	DETdef	le
dous	ADJcar	deux
autres	PROind	autre
de	PRE	de
bialté	NOMcom	biauté
.	PONfrt	.

Puis	ADVgen	puis
li	PROper	il
fu	VERcjg	estre
bien	ADVgen	bien
gueredoné	VERppe	guerdoner
,	PONfbl	,
car	CONcoo	car
dame	NOMcom	dame
Heloine	NOMpro	Héloni
li	PROper	il
dona	VERcjg	doner
:	PONfbl	:
plus	ADVgen	plus
bele	ADJqua	bel
fame	NOMcom	feme
ne	ADVneg	ne
trova	VERcjg	trover
.	PONfrt	.

Pallas	NOMpro	Pallas
et	CONcoo	et
Juno	NOMpro	Juno
s'	PROper	soi
an	PROadv	en
marrirent	VERcjg	marrir
et	CONcoo	et
çals	PROdem	cil
de	PRE	de
Troie	NOMpro	Troie
anhaïrent	VERcjg	enhaïr
:	PONfbl	:
por	PRE	por
sol	ADJqua	sol
l'	DETdef	le
acheison	NOMcom	ochaison
de	PRE	de
Paris	NOMpro	Paris
haïrent	VERcjg	häir
puis	ADVgen	puis
tot	DETind	tot
lo	DETdef	le
païs	NOMcom	päis
.	PONfrt	.

Juno	NOMpro	Juno
vit	VERcjg	vëoir
Eneas	NOMpro	Eneas
an	PRE	en
mer	NOMcom	mer
;	PONfbl	;
molt	ADVgen	moult
se	PROper	soi
pena	VERcjg	pener
de	PRE	de
lui	PROper	il
grever	VERinf	grever
,	PONfbl	,
set	DETcar	sept
anz	NOMcom	an
toz	ADVgen	tot
plains	ADJqua	plein
lo	PROper	le
travailla	VERcjg	travailler
,	PONfbl	,
par	PRE	par
plusors	DETind	plusor
mers	NOMcom	mer
lo	PROper	le
demena	VERcjg	demener
;	PONfbl	;
molt	ADVgen	moult
anhaï	VERcjg	enhaïr
tote	DETind	tot
sa	DETpos	son
geste	NOMcom	geste
.	PONfrt	.

A	PRE	a
un	DETndf	un
jor	NOMcom	jor
li	PROper	il
mut	VERcjg	movoir
grant	ADJqua	grant
tempeste	NOMcom	tempête
,	PONfbl	,
car	CONcoo	car
molt	ADVgen	moult
formant	ADVgen	forment
comut	VERcjg	comovoir
la	DETdef	le
mer	NOMcom	mer
;	PONfbl	;
les	DETdef	le
nes	NOMcom	nef
comancent	VERcjg	comencier
a	PRE	a
vaucrer	VERinf	vaucrer
,	PONfbl	,
tone	VERcjg	toner
et	CONcoo	et
pluet	VERcjg	plovoir
