Loys	NOMpro	Loeïs
et	CONcoo	et
desloyaux	NOMcom	déloyal
envers	PRE	envers
Dieu	NOMpro	Dieu
,	PONfbl	,
nostre	DETpos	notre
createur	NOMcom	créateur
,	PONfbl	,
et	CONcoo	et
la	DETdef	le
crestienté	NOMcom	chrétienté
,	PONfbl	,
les	DETdef	le
Cipriens	NOMpro	Ciprien
et	CONcoo	et
leurs	DETpos	leur
aliez	NOMcom	allez
et	CONcoo	et
complices	NOMcom	complice
,	PONfbl	,
qui	PROrel	que
,	PONfbl	,
de	PRE	de
long	ADJqua	long
temps	NOMcom	temps
,	PONfbl	,
ont	VERcjg	avoir
entreprins	VERppe	entreprendre
le	DETdef	le
gouvernement	NOMcom	gouvernement
de	PRE	de
ladite	DETcom	ledit
maison	NOMcom	maison
de	PRE	de
Savoye	NOMpro	savoir
.	PONfrt	.

Et	CONcoo	et
semblablement	ADVgen	semblablement
avez	VERcjg	avoir
bien	ADVgen	bien
souvenance	NOMcom	souvenance
que	CONsub	que
pour	PRE	pour
y	PROadv	y
obvier	VERinf	obvïer
et	CONcoo	et
donner	VERinf	donner
la	DETdef	le
provision	NOMcom	provision
convenable	ADJqua	convenable
,	PONfbl	,
et	CONcoo	et
aussi	ADVgen	aussi
pour	PRE	pour
garder	VERinf	garder
l'	DETdef	le
onneur	NOMcom	honneur
de	PRE	de
la	DETdef	le
maison	NOMcom	maison
de	PRE	de
France	NOMpro	France
,	PONfbl	,
feu	ADJqua	feu
nostre	DETpos	notre
trés	ADVgen	très
chier	ADJqua	chier
seigneur	NOMcom	seigneur
et	CONcoo	et
pere	NOMcom	père
,	PONfbl	,
que	PROrel	que
Dieu	NOMpro	Dieu
absoille	VERcjg	absoudre
,	PONfbl	,
a	VERcjg	avoir
eu	VERppe	avoir
de	PRE	de
grans	ADJqua	grand
peynes	NOMcom	peine
et	CONcoo	et
travaulx	NOMcom	travail
,	PONfbl	,
et	CONcoo	et
se	ADVgen	si
y	PROadv	y
est	VERcjg	estre
employé	VERppe	employer
bien	ADVgen	bien
et	CONcoo	et
grandement	ADVgen	grandement
.	PONfrt	.

Mais	CONcoo	mais
quelque	DETind	quel
ordre	NOMcom	ordre
et	CONcoo	et
provision	NOMcom	provision
qu'	PROrel	que
on	PROind	on
y	PROadv	y
a	VERcjg	avoir
peu	VERppe	pouvoir
mectre	VERinf	mettre
et	CONcoo	et
donner	VERinf	donner
,	PONfbl	,
les	DETdef	le
choses	NOMcom	chose
y	PROadv	y
ont	VERcjg	avoir
esté	VERppe	être
depuis	ADVgen	depuis
et	CONcoo	et
vont	VERcjg	aler
de	PRE	de
jour	NOMcom	jour
en	PRE	en
jour	NOMcom	jour
de	PRE	de
mal	NOMcom	mal
en	PRE	en
piz	NOMcom	piz
,	PONfbl	,
à	PRE	à
nostre	DETpos	notre
trés	ADVgen	très
grant	ADJqua	grant
desplaisance	NOMcom	desplaisance
.	PONfrt	.

Et	CONcoo	et
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
ceste	DETdem	cest
matiere	NOMcom	matiere
touche	VERcjg	toucher
grandement	ADVgen	grandement
l'	DETdef	le
onneur	NOMcom	honneur
de	PRE	de
nous	PROper	nous
et	CONcoo	et
de	PRE	de
la	DETdef	le
maison	NOMcom	maison
de	PRE	de
France	NOMpro	France
,	PONfbl	,
et	CONcoo	et
que	CONsub	que
avons	VERcjg	avoir
esté	VERppe	être
advertiz	VERppe	avertir
qu'	CONsub	que
ilz	PROper	il
perseverent	VERcjg	persévérer
en	PRE	en
leur	DETpos	leur
mauvaiz	ADJqua	mauvais
et	CONcoo	et
dampnable	ADJqua	damnable
propos	NOMcom	propos
,	PONfbl	,
et	CONcoo	et
que	CONsub	que
desjà	ADVgen	desjà
ilz	PROper	il
vous	PROper	vous
ont	VERcjg	avoir
fait	VERppe	faire
requerir	VERinf	requérir
par	PRE	par
Thomas	NOMpro	Tomas
de	PRE	de
Rommaignant	NOMpro	Romagnant
,	PONfbl	,
leur	DETpos	leur
serviteur	NOMcom	serviteur
,	PONfbl	,
pour	PRE	pour
les	PROper	il
aider	VERinf	aider
et	CONcoo	et
favoriser	VERinf	favoriser
,	PONfbl	,
à	PRE	à
quoy	PROrel	quoi
de	PRE	de
tout	DETind	tout
nostre	DETpos	notre
povoir	VERinf	povoir
,	PONfbl	,
moyennant	VERppa	moyenner
l'	DETdef	le
aide	NOMcom	aide
de	PRE	de
Dieu	NOMpro	Dieu
et	CONcoo	et
de	PRE	de
noz	DETpos	notre
bons	ADJqua	bon
vassaulx	NOMcom	vassal
,	PONfbl	,
subgietz	NOMcom	sujet
,	PONfbl	,
amis	NOMcom	ami
,	PONfbl	,
alliez	NOMcom	alleu
et	CONcoo	et
bienvueillans	NOMcom	bienvoillant
,	PONfbl	,
sommes	VERcjg	être
deliberez	VERppe	délibérer
resister	VERinf	resister
,	PONfbl	,
et	CONcoo	et
à	PRE	à
ce	PROdem	ce
nous	PROper	nous
employer	VERinf	employer
pour	PRE	pour
l'	DETdef	le
onneur	NOMcom	honneur
de	PRE	de
ladite	DETcom	ledit
maison	NOMcom	maison
,	PONfbl	,
sans	PRE	sans
riens	PROind	rien
y	PROadv	y
espargner	VERinf	espargnier
,	PONfbl	,
nous	PROper	nous
vous	PROper	vous
avons	VERcjg	avoir
bien	ADVgen	bien
voulu	VERppe	vouloir
escripre	VERinf	écrire
ces	DETdem	ce
choses	NOMcom	chose
,	PONfbl	,
et	CONcoo	et
vous	PROper	vous
advertir	VERinf	advertir
de	PRE	de
nostre	DETpos	notre
vouloir	NOMcom	vouloir
et	CONcoo	et
entencion	NOMcom	entention
sur	PRE	sur
ce	PROdem	ce
,	PONfbl	,
à	PRE	à
ce	PROdem	ce
que	CONsub	que
vous	PROper	vous
ne	ADVneg	ne
vueillez	VERcjg	vouloir
donner	VERinf	donner
aucune	DETind	aucun
faveur	NOMcom	faveur
ou	CONcoo	o
aide	NOMcom	aide
en	PRE	en
ceste	DETdem	cest
partie	NOMcom	partie
,	PONfbl	,
qui	PROrel	que
feust	VERcjg	être
à	PRE	à
nostre	DETpos	notre
desplaisance	NOMcom	desplaisance
et	CONcoo	et
contre	PRE	contre
nostre	DETpos	notre
dit	VERcjg	dire
vouloir	VERinf	vouloir
et	CONcoo	et
entencion	NOMcom	entention
,	PONfbl	,
en	PRE	en
vous	PROper	vous
advertissant	VERppa	advertir
,	PONfbl	,
que	CONsub	que
quant	CONsub	cant
le	PROper	il
vouldriez	VERcjg	vouloir
faire	VERinf	faire
,	PONfbl	,
ce	PROdem	ce
que	PROrel	que
ne	ADVneg	ne
croyons	VERcjg	croyer
pas	ADVneg	pas
,	PONfbl	,
que	CONsub	que
nous	PROper	nous
y	PROadv	y
donrons	VERcjg	doner
la	DETdef	le
provision	NOMcom	provision
par	PRE	par
tous	DETind	tous
les	DETdef	le
moyens	NOMcom	moyen
qui	PROrel	que
nous	PROper	nous
seront	VERcjg	estre
possibles	ADJqua	possible
,	PONfbl	,
en	PRE	en
manière	NOMcom	manière
que	CONsub	que
la	DETdef	le
chose	NOMcom	chose
sortira	VERcjg	sortir
son	DETpos	son
effect	NOMcom	éfait
à	PRE	à
nostre	DETpos	notre
entencion	NOMcom	entention
,	PONfbl	,
ainsi	ADVgen	ainsi
que	CONsub	que
singulierement	ADVgen	singuerlement
le	PROper	il
desirons	VERcjg	désirer
.	PONfrt	.

Donné	VERppe	donner
à	PRE	à
Tours	NOMpro	Tours
,	PONfbl	,
le	DETdef	le
XI	PROcar	onze
e	CONcoo	et
jour	NOMcom	jour
d'	PRE	de
octobre	NOMcom	octobre
.	PONfrt	.

Loys	NOMpro	Loeïs
.	PONfrt	.

Meurin	NOMpro	Meurin
.	PONfrt	.

A	PRE	a
nostre	DETpos	notre
trés	NOMcom	tref
chier	ADJqua	chier
et	CONcoo	et
trés	ADVgen	très
amé	VERppe	aimer
oncle	NOMcom	oncle
le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Millan	NOMpro	Millan
.	PONfrt	.

Ma	DETpos	mon
femme	NOMcom	femme
,	PONfbl	,
je	PROper	je
ne	ADVneg	ne
m'	PROper	je
en	PROadv	en
puis	VERcjg	pöoir
si	ADVgen	si
tost	ADVgen	tost
aller	VERinf	aller
que	CONsub	que
je	PROper	je
pensoye	VERcjg	penser
,	PONfbl	,
pour	PRE	pour
plusieurs	DETind	plusieurs
grans	ADJqua	grand
affaires	NOMcom	affaire
que	PROrel	que
me	PROper	je
sont	VERcjg	estre
survenues	VERppe	survenir
,	PONfbl	,
et	CONcoo	et
pour	PRE	pour
ce	PROdem	ce
venez	VERcjg	venir
vous	PROper	vous
en	PROadv	en
à	PRE	à
Melun	NOMpro	Melun
,	PONfbl	,
et	CONcoo	et
n'	ADVneg	ne
amenez	VERcjg	amener
que	CONsub	que
la	DETdef	le
dame	NOMcom	dame
de	PRE	de
Chasteauneuf	NOMpro	Chasteauneuf
,	PONfbl	,
la	DETdef	le
dame	NOMcom	dame
de	PRE	de
Saint	ADJqua	saint
Priet	NOMpro	Priet
,	PONfbl	,
et	CONcoo	et
Françoyse	NOMpro	Française
,	PONfbl	,
et	CONcoo	et
ordonnez	VERcjg	ordonner
la	DETdef	le
femme	NOMcom	femme
de	PRE	de
Rollant	NOMpro	Roland
pour	PRE	pour
demourant	VERppa	demeurer
avec	PRE	avec
le	DETdef	le
surplus	NOMcom	surplus
.	PONfrt	.

Et	CONcoo	et
adieu	NOMpro	Adieu
.	PONfrt	.

Escrip	NOMcom	écrif
à	PRE	à
Mon	DETpos	mon
oncle	NOMcom	oncle
,	PONfbl	,
j'	PROper	je
ay	VERcjg	avoir
receu	VERppe	recevoir
les	DETdef	le
lectres	NOMcom	lectre
que	PROrel	que
vous	PROper	vous
m'	PROper	je
avez	VERcjg	avoir
escriptes	VERppe	écrire
et	CONcoo	et
veu	VERppe	voir
bien	ADVgen	bien
au	PRE.DETdef	a
long	NOMcom	loin
le	DETdef	le
memoire	NOMcom	mémoire
que	PROrel	que
m'	PROper	je
avez	VERcjg	avoir
envoyé	VERppe	envoyer
contenant	VERppa	contenir
les	DETdef	le
diligences	NOMcom	dilijance
que	PROrel	que
avez	VERcjg	avoir
faictes	VERppe	faire
pour	PRE	pour
resister	VERinf	resister
à	PRE	à
la	DETdef	le
descente	NOMcom	descente
des	PRE.DETdef	de.le
Anglois	NOMcom	anglois
,	PONfbl	,
dont	PROrel	dont
je	PROper	je
vous	PROper	vous
mercye	VERcjg	mercïer
tant	ADVgen	tant
que	CONsub	que
je	PROper	je
puis	VERcjg	pöoir
.	PONfrt	.

Je	PROper	je
ne	ADVneg	ne
plains	VERcjg	plaindre
rien	PROind	rien
en	PRE	en
ceste	DETdem	cest
matiere	NOMcom	matiere
,	PONfbl	,
sinon	PRE	sinon
la	DETdef	le
paine	NOMcom	peine
que	PROrel	que
je	PROper	je
vous	PROper	vous
ay	VERcjg	avoir
donnée	VERppe	donner
et	CONcoo	et
donne	VERcjg	donner
.	PONfrt	.

Au	PRE.DETdef	a
surplus	NOMcom	surplus
,	PONfbl	,
j'	PROper	je
ay	VERcjg	avoir
differé	VERppe	diferrer
de	PRE	de
vous	PROper	vous
escripre	VERinf	écrire
,	PONfbl	,
actendant	VERppa	actendre
que	CONsub	que
vous	PROper	vous
faire	VERinf	faire
savoir	VERinf	savoir
certaines	DETind	certain
nouvelles	NOMcom	nouvelle
.	PONfrt	.

Toutesvoyes	ADVgen	toutevoie
,	PONfbl	,
il	PROimp	il
ne	ADVneg	ne
m'	PROper	je
en	PROadv	en
est	VERcjg	estre
point	ADVneg	point
venu	VERppe	venir
qui	PROrel	que
feussent	VERcjg	être
à	PRE	à
escripre	VERinf	écrire
,	PONfbl	,
senon	PRE	senon
aujourd'uy	ADVgen	aujourde
qu'	CONsub	que
il	PROper	il
est	VERcjg	estre
venu	VERppe	venir
une	PROind	un
des	PRE.DETdef	de.le
deux	ADJcar	deux
carvelles	NOMcom	charvelle
de	PRE	de
Honnefleu	NOMpro	Honnefle
,	PONfbl	,
que	PROrel	que
j'	PROper	je
avoye	VERcjg	avoir
envoyées	VERppe	envoyer
pour	PRE	pour
savoir	VERinf	savoir
des	PRE.DETdef	de.le
nouvelles	NOMcom	nouvelle
,	PONfbl	,
et	CONcoo	et
celuy	PROdem	cel
que	PROrel	que
j'	PROper	je
avoye	VERcjg	avoir
envoyé	VERppe	envoyer
dit	VERcjg	dire
qu'	CONsub	que
il	PROper	il
est	VERcjg	estre
party	VERppe	partir
de	PRE	de
au	PRE.DETdef	a
droit	NOMcom	droit
de	PRE	de
Sandwich	NOMpro	Sanduic
XXXV	DETcar	trente-cinq
navires	NOMcom	navire
,	PONfbl	,
dont	PROrel	dont
en	PROadv	en
y	PROadv	y
a	VERcjg	avoir
XIIII	PROcar	quatorze
à	PRE	à
chasteau	NOMcom	château
devant	ADVgen	devant
et	CONcoo	et
chasteau	NOMcom	château
d'	PRE	de
arriere	ADVgen	ariere
,	PONfbl	,
et	CONcoo	et
les	DETdef	le
autres	PROind	autre
sont	VERcjg	estre
petiz	ADJqua	petit
,	PONfbl	,
et	CONcoo	et
est	VERcjg	estre
venu	VERppe	venir
avec	PRE	avec
eulx	PROper	eux
jusques	PRE	jusque
au	PRE.DETdef	a
droit	NOMcom	droit
de	PRE	de
Blanc	ADJqua	blanc
Chief	NOMcom	chief
,	PONfbl	,
et	CONcoo	et
dit	VERcjg	dire
qu'	CONsub	que
ilz	PROper	il
ont	VERcjg	avoir
tiré	VERppe	tirer
vers	PRE	vers
Hantonne	NOMpro	Hanthone
,	PONfbl	,
et	CONcoo	et
presume	NOMcom	présume
que	PROrel	que
c'	PROdem	ce
est	VERcjg	estre
pour	PRE	pour
aller	VERinf	aller
à	PRE	à
Bordeaux	NOMpro	Bordeaux
ou	CONcoo	o
en	PRE	en
Irlande	NOMpro	Ilande
.	PONfrt	.

Je	PROper	je
ne	ADVneg	ne
scay	VERcjg	savoir
qu'	PROrel	que
ilz	PROper	il
feront	VERcjg	faire
;	PONfbl	;
toutesvoyes	ADVgen	toutevoie
,	PONfbl	,
je	PROper	je
vous	PROper	vous
en	PROadv	en
advise	VERcjg	aviser
à	PRE	à
l'	DETdef	le
aventure	NOMcom	aventure
,	PONfbl	,
affin	ADVgen	afin
que	CONsub	que
,	PONfbl	,
s'	CONsub	se
ilz	PROper	il
vouloient	VERcjg	vouloir
faire	VERinf	faire
aucune	DETind	aucun
descente	NOMcom	descente
en	PRE	en
vostre	DETpos	vostre
quartier	NOMcom	quartier
,	PONfbl	,
qu'	PROrel	que
ilz	PROper	il
trouvent	VERcjg	trouver
à	PRE	à
qui	PROrel	que
parler	VERinf	parler
.	PONfrt	.

Depuis	PRE	depuis
ces	DETdem	ce
lectres	NOMcom	lectre
escriptes	VERppe	écrire
,	PONfbl	,
j'	PROper	je
ay	VERcjg	avoir
receu	VERppe	recevoir
unes	DETndf	un
lectres	NOMcom	lectre
du	PRE.DETdef	de.le
prevost	NOMcom	prévôt
de	PRE	de
Paris	NOMpro	Paris
,	PONfbl	,
dont	PROrel	dont
je	PROper	je
vous	PROper	vous
envoye	VERcjg	envoyer
le	DETdef	le
double	NOMcom	double
Cadorat	NOMpro	Cadoarat
,	PONfbl	,
vous	PROper	vous
savez	VERcjg	savoir
la	DETdef	le
charge	NOMcom	charge
que	PROrel	que
vous	PROper	vous
avons	VERcjg	avoir
baillée	VERppe	bailler
,	PONfbl	,
et	CONcoo	et
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
desirons	VERcjg	désirer
que	CONsub	que
la	PROper	il
mectez	VERcjg	mettre
incontinent	ADVgen	incontinent
à	PRE	à
execucion	NOMcom	exécution
,	PONfbl	,
et	CONcoo	et
que	CONsub	que
ne	ADVneg	ne
serons	VERcjg	estre
à	PRE	à
nostre	DETpos	notre
aise	NOMcom	aise
tant	ADVgen	tant
qu'	CONsub	que
il	PROper	il
soit	VERcjg	estre
fait	VERppe	faire
,	PONfbl	,
nous	PROper	nous
vous	PROper	vous
escripvons	VERcjg	écrire
de	PRE	de
rechief	NOMcom	rechief
et	CONcoo	et
vous	PROper	vous
prions	VERcjg	prier
,	PONfbl	,
si	ADVgen	si
jamès	ADVgen	jamais
vous	PROper	vous
voulez	VERcjg	vouloir
que	CONsub	que
nous	PROper	nous
soyons	VERcjg	seoir
contens	NOMcom	content
de	PRE	de
vous	PROper	vous
,	PONfbl	,
que	CONsub	que
vous	PROper	vous
faictes	VERcjg	faire
loger	VERinf	loger
noz	DETpos	notre
gens	NOMcom	gens
ou	PRE.DETdef	en.le
royaume	NOMcom	royaume
de	PRE	de
Navarre	NOMpro	Navarre
es	PRE.DETdef	en.le
bonnes	ADJqua	bon
villes	NOMcom	ville
le	DETdef	le
plus	ADVgen	plus
près	PRE	près
les	DETdef	le
ungs	PROind	un
des	PRE.DETdef	de.le
autres	PROind	autre
que	PROrel	que
vous	PROper	vous
pourrez	VERcjg	pouvoir
,	PONfbl	,
et	CONcoo	et
surtout	VERcjg	sourter
faictes	VERcjg	faire
mectre	VERinf	mettre
ordre	NOMcom	ordre
et	CONcoo	et
police	NOMcom	police
ou	CONcoo	o
fait	VERcjg	faire
de	PRE	de
nosdictes	ADJqua	nosdit
gens	NOMcom	gens
,	PONfbl	,
et	CONcoo	et
que	CONsub	que
justice	NOMcom	justice
y	PROadv	y
soit	VERcjg	estre
gardée	VERppe	garder
,	PONfbl	,
çar	CONcoo	çar
autrement	ADVgen	autrement
,	PONfbl	,
tout	ADVgen	tout
n'	ADVneg	ne
yra	VERcjg	aler
pas	ADVneg	pas
bien	ADVgen	bien
,	PONfbl	,
et	CONcoo	et
en	PRE	en
la	ADVgen	là
y	PROadv	y
mectant	VERppa	mecter
,	PONfbl	,
ilz	PROper	il
aront	VERcjg	avoir
assez	ADVgen	assez
vivres	NOMcom	vivre
.	PONfrt	.

Et	CONcoo	et
faictes	VERcjg	faire
passer	VERinf	passer
tout	DETind	tout
le	DETdef	le
bagaige	NOMcom	bagage
deçà	ADVgen	deça
,	PONfbl	,
et	CONcoo	et
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
demeure	VERcjg	demeurer
à	PRE	à
lanee	NOMcom	lanee
fournie	VERppe	fournir
que	ADVgen	que
VI	DETcar	six
chevaulx	NOMcom	cheval
.	PONfrt	.

Vous	PROper	vous
savez	VERcjg	savoir
assez	ADVgen	assez
nostre	DETpos	notre
entencion	NOMcom	entention
,	PONfbl	,
et	CONcoo	et
pour	PRE	pour
ce	PROdem	ce
ne	ADVneg	ne
vous	PROper	vous
en	PROadv	en
escripvons	VERcjg	écrire
autrement	ADVgen	autrement
,	PONfbl	,
mès	CONcoo	mais
surtout	ADVgen	sourtout
gardez	VERcjg	garder
quelque	DETind	quel
chose	NOMcom	chose
que	PROrel	que
l'	DETdef	le
on	PROind	on
vous	PROper	vous
dye	VERcjg	dire
que	CONsub	que
nosdictes	ADJqua	nosdit
gens	NOMcom	gens
y	PROadv	y
soient	VERcjg	estre
logez	VERppe	loger
.	PONfrt	.

Ma	DETpos	mon
seur	NOMcom	sor
,	PONfbl	,
je	PROper	je
me	PROper	je
recommande	VERcjg	recommander
à	PRE	à
vous	PROper	vous
.	PONfrt	.

J'	PROper	je
ay	VERcjg	avoir
receu	VERppe	recevoir
les	DETdef	le
lettres	NOMcom	lettre
que	PROrel	que
vous	PROper	vous
m'	PROper	je
avez	VERcjg	avoir
escriptes	VERppe	écrire
par	PRE	par
maistre	NOMcom	maître
Pierre	NOMpro	Pierre
Doriolle	NOMpro	Dorille
,	PONfbl	,
et	CONcoo	et
oy	ADVgen	oi
ce	PROdem	ce
qu'	PROrel	que
il	PROper	il
m'	PROper	je
a	VERcjg	avoir
dit	VERppe	dire
de	PRE	de
vostre	DETpos	vostre
part	NOMcom	part
.	PONfrt	.

Je	PROper	je
m'	PROper	je
en	PROadv	en
voys	VERcjg	aler
presentement	ADVgen	présentement
à	PRE	à
Bayonne	NOMpro	Bayonne
,	PONfbl	,
et	CONcoo	et
si	ADVgen	si
tost	ADVgen	tost
que	CONsub	que
aré	VERppe	arer
fait	VERcjg	faire
avec	PRE	avec
le	DETdef	le
roy	NOMcom	roi
de	PRE	de
Castelle	NOMpro	Castelle
,	PONfbl	,
qui	PROrel	que
sera	VERcjg	estre
,	PONfbl	,
comme	CONsub	comme
je	PROper	je
m'	PROper	je
actens	VERcjg	actendre
,	PONfbl	,
ou	CONcoo	o
plaisir	VERinf	plaisir
Dieu	NOMpro	Dieu
,	PONfbl	,
environ	PRE	environ
la	DETdef	le
my	ADJpos	mon
fevrier	NOMcom	février
,	PONfbl	,
je	PROper	je
m'	PROper	je
en	PROadv	en
pence	VERcjg	pencier
aller	VERinf	aller
tout	ADVgen	tout
de	PRE	de
tiré	NOMcom	tiré
à	PRE	à
Lyon	NOMpro	Lyon
,	PONfbl	,
et	CONcoo	et
es	PRE.DETdef	en.le
marches	NOMcom	marche
de	PRE	de
par	PRE	par
delà	ADVgen	delà
,	PONfbl	,
et	CONcoo	et
pour	PRE	pour
ce	PROdem	ce
,	PONfbl	,
allez	VERcjg	aler
vous	PROper	vous
en	PROadv	en
,	PONfbl	,
vous	PROper	vous
et	CONcoo	et
mon	DETpos	mon
beau	ADJqua	beau
pere	NOMcom	père
de	PRE	de
Savoye	NOMpro	savoir
à	PRE	à
Chambery	NOMpro	Chambry
,	PONfbl	,
afin	ADVgen	afin
que	CONsub	que
soyez	VERcjg	estre
plus	ADVgen	plus
prests	ADJqua	prêt
pour	PRE	pour
venir	VERinf	venir
au	PRE.DETdef	a
devant	NOMcom	devant
de	PRE	de
moy	PROper	moi
.	PONfrt	.

Je	PROper	je
ne	ADVneg	ne
scay	VERcjg	savoir
se	CONsub	se
vous	PROper	vous
avez	VERcjg	avoir
fait	VERppe	faire
ce	PROdem	ce
que	PROrel	que
je	PROper	je
vous	PROper	vous
ay	VERcjg	avoir
mandé	VERppe	mander
par	PRE	par
le	DETdef	le
mareschal	NOMcom	maréchal
de	PRE	de
Savoye	NOMpro	savoir
,	PONfbl	,
et	CONcoo	et
,	PONfbl	,
pour	PRE	pour
ce	PROdem	ce
,	PONfbl	,
escripvez	VERcjg	écriver
le	PROper	il
moy	PROper	moi
.	PONfrt	.

Et	CONcoo	et
,	PONfbl	,
au	PRE.DETdef	a
regart	NOMcom	regart
de	PRE	de
ce	PROdem	ce
que	PROrel	que
me	PROper	je
faictes	VERcjg	faire
savoir	VERinf	savoir
que	CONsub	que
Philippe	NOMpro	Philippe
de	PRE	de
Savoie	NOMpro	savoir
veult	VERcjg	vouloir
aller	VERinf	aller
en	PRE	en
Piemont	NOMpro	Piemont
,	PONfbl	,
et	CONcoo	et
qu'	CONsub	que
il	PROper	il
y	PROadv	y
pourroit	VERcjg	pouvoir
avoir	VERinf	avoir
danger	NOMcom	dangier
,	PONfbl	,
il	PROimp	il
n'	ADVneg	ne
en	PROadv	en
y	PROadv	y
a	VERcjg	avoir
point	ADVneg	point
,	PONfbl	,
car	CONcoo	car
où	PROrel	où
que	PROrel	que
il	PROper	il
voyse	VERcjg	voir
,	PONfbl	,
j'	PROper	je
ay	VERcjg	avoir
entencion	NOMcom	entention
de	PRE	de
l'	PROper	il
aller	VERinf	aller
cercher	VERinf	chercher
en	PRE	en
personne	PROind	personn
,	PONfbl	,
s'	CONsub	se
il	PROper	il
ne	ADVneg	ne
fait	VERcjg	faire
comme	CONsub	comme
j'	PROper	je
ay	VERcjg	avoir
mandé	VERppe	mander
par	PRE	par
ledit	DETcom	ledit
mareschal	NOMcom	maréchal
.	PONfrt	.

De	PRE	de
par	PRE	par
le	DETdef	le
roy	NOMcom	roi
.	PONfrt	.

Chiers	ADJqua	cher
et	CONcoo	et
bien	ADVgen	bien
amez	VERppe	amer
,	PONfbl	,
nous	PROper	nous
avons	VERcjg	avoir
presentement	ADVgen	présentement
ordonné	VERppe	ordonner
faire	VERinf	faire
asseoir	VERinf	assëoir
et	CONcoo	et
imposer	VERinf	imposer
en	PRE	en
nostre	DETpos	notre
pays	NOMcom	pays
du	PRE.DETdef	de.le
Daulphiné	NOMpro	Dauphine
la	DETdef	le
somme	NOMcom	somme
de	PRE	de
trois	DETcar	trois
mille	DETcar	mille
sept	DETcar	sept
cens	DETcar	cent
cinquante	DETcar	cinquante
livres	NOMcom	livre
tournois	ADJqua	tournois
,	PONfbl	,
pour	PRE	pour
emploier	VERinf	employer
ou	PRE.DETdef	en.le
paiement	NOMcom	paiement
de	PRE	de
cinquante	DETcar	cinquante
hommes	NOMcom	homme
d'	PRE	de
armes	NOMcom	arme
et	CONcoo	et
de	PRE	de
cent	DETcar	cent
hommes	NOMcom	homme
de	PRE	de
pié	NOMcom	pié
,	PONfbl	,
que	PROrel	que
faisons	VERcjg	faire
prendre	VERinf	prendre
en	PRE	en
nostre	DETpos	notre
dit	VERppe	dire
païs	NOMcom	päis
