Comment	ADVsub	comment
bailler	VERinf	bailler
,	PONfbl	,
pour	PRE	pour
ce	PROdem	ce
qu'	CONsub	que
il	PROper	il
veoit	VERcjg	voir
tant	ADVgen	tant
de	PRE	de
gens	NOMcom	gens
de	PRE	de
bien	NOMcom	bien
qui	PROrel	que
s'	PROper	soi
en	PROadv	en
empeschoient	VERcjg	empeschier
,	PONfbl	,
et	CONcoo	et
si	ADVgen	si
craignoit	VERcjg	craindre
la	DETdef	le
force	NOMcom	force
dudict	PRE.DETcom	de.ledit
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
.	PONfrt	.

Par	PRE	par
plusieurs	DETind	plusieurs
fois	NOMcom	fois
les	PROper	il
veïz	VERcjg	vëoir
tous	DETind	tous
deux	PROcar	deux
en	PRE	en
la	DETdef	le
chambre	NOMcom	chambre
en	PRE	en
grant	ADJqua	grant
assemblée	NOMcom	assemblée
de	PRE	de
conseil	NOMcom	conseil
où	PROrel	où
ilz	PROper	il
plaidoient	VERcjg	plaider
leurs	DETpos	leur
causes	NOMcom	cause
,	PONfbl	,
et	CONcoo	et
veïz	VERcjg	vëoir
le	DETdef	le
bon	ADJqua	bon
homme	NOMcom	homme
vieil	ADJqua	vieux
presenter	VERinf	présenter
le	DETdef	le
gaige	NOMcom	gage
de	PRE	de
bataille	NOMcom	bataille
à	PRE	à
son	DETpos	son
filz	NOMcom	fil
.	PONfrt	.

Le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
desiroit	VERcjg	désirer
fort	ADVgen	fort
les	PROper	il
appoincter	VERinf	appointer
et	CONcoo	et
favorisoit	VERcjg	favorir
le	DETdef	le
jeune	NOMcom	jeune
.	PONfrt	.

Et	CONcoo	et
fut	VERcjg	être
offert	VERppe	ofrir
au	PRE.DETdef	a
jeune	NOMcom	jeune
que	CONsub	que
le	DETdef	le
tiltre	NOMcom	tiltre
de	PRE	de
gouverneur	NOMcom	gouverneur
ou	PRE.DETdef	en.le
meimbourg	NOMcom	membourg
du	PRE.DETdef	de.le
pays	NOMcom	pays
luy	PROper	lui
demoureroit	VERcjg	demeurer
avec	PRE	avec
tout	DETind	tout
le	DETdef	le
revenu	VERppe	revenir
,	PONfbl	,
sauf	PRE	sauf
une	DETndf	un
petite	ADJqua	petit
ville	NOMcom	ville
assise	VERppe	assëoir
auprès	ADVgen	auprès
de	PRE	de
Brabant	NOMpro	Brabant
appellée	VERppe	appeler
Grave	NOMpro	Grave
,	PONfbl	,
qui	PROrel	que
devoit	VERcjg	devoir
demourer	VERinf	demeurer
au	PRE.DETdef	a
père	NOMcom	père
avec	PRE	avec
le	DETdef	le
revenu	VERppe	revenir
,	PONfbl	,
et	CONcoo	et
trois	DETcar	trois
mil	DETcar	mille
florins	NOMcom	florin
de	PRE	de
pension	NOMcom	pension
.	PONfrt	.

Ainsi	ADVgen	ainsi
,	PONfbl	,
le	DETdef	le
tout	PROind	tout
luy	PROper	lui
eust	VERcjg	avoir
vallu	VERppe	valoir
six	DETcar	six
mil	DETcar	mille
florins	NOMcom	florin
avecques	PRE	avec
le	DETdef	le
tiltre	NOMcom	tiltre
de	PRE	de
duc	NOMcom	duc
,	PONfbl	,
comme	CONsub	comme
raison	NOMcom	raison
estoit	VERcjg	estre
.	PONfrt	.

Avec	PRE	avec
d'	PRE	de
autres	PROind	autre
plus	ADVgen	plus
saiges	ADJqua	sage
,	PONfbl	,
je	PROper	je
fuz	VERcjg	être
commis	VERppe	commettre
à	PRE	à
porter	VERinf	porter
ceste	DETdem	cest
parolle	NOMcom	parole
à	PRE	à
ce	DETdem	ce
jeune	ADJqua	jeune
duc	NOMcom	duc
,	PONfbl	,
lequel	PROrel	lequel
fist	VERcjg	faire
responce	NOMcom	responce
qu'	CONsub	que
il	PROper	il
aymeroit	VERcjg	aimer
mieulx	ADVgen	mieux
avoir	VERinf	avoir
gecté	VERppe	jecter
son	DETpos	son
père	NOMcom	père
,	PONfbl	,
la	DETdef	le
teste	NOMcom	teste
devant	ADVgen	devant
,	PONfbl	,
en	PRE	en
ung	DETndf	un
puys	NOMcom	puits
et	CONcoo	et
se	CONsub	se
estre	VERinf	estre
gecté	VERppe	jecter
après	ADVgen	après
que	CONsub	que
d'	PRE	de
avoir	VERinf	avoir
faict	VERcjg	faire
cest	DETdem	cest
appointement	NOMcom	appointement
,	PONfbl	,
et	CONcoo	et
qu'	CONsub	que
il	PROimp	il
y	PROadv	y
avoit	VERcjg	avoir
quarente	DETcar	quarante
et	CONcoo	et
quatre	DETcar	quatre
ans	NOMcom	an
que	CONsub	que
son	DETpos	son
père	NOMcom	père
estoit	VERcjg	estre
duc	NOMcom	duc
,	PONfbl	,
et	CONcoo	et
qu'	CONsub	que
il	PROimp	il
estoit	VERcjg	estre
bien	ADVgen	bien
temps	NOMcom	temps
qu'	CONsub	que
il	PROper	il
le	PROper	il
fust	VERcjg	estre
;	PONfbl	;
mais	CONcoo	mais
,	PONfbl	,
très	ADVgen	très
voulentiers	ADVgen	volontiers
,	PONfbl	,
il	PROper	il
luy	PROper	lui
laisseroit	VERcjg	laissier
trois	DETcar	trois
mil	DETcar	mille
florins	NOMcom	florin
par	PRE	par
an	NOMcom	an
,	PONfbl	,
par	PRE	par
condicion	NOMcom	condition
qu'	CONsub	que
il	PROper	il
n'	ADVneg	ne
entreroit	VERcjg	entrer
jamais	ADVgen	jamais
dedans	PRE	dedans
la	DETdef	le
duché	NOMcom	duche
,	PONfbl	,
et	CONcoo	et
assez	ADVgen	assez
d'	PRE	de
autres	DETind	autre
parolles	NOMcom	parole
très	ADVgen	très
mal	ADVgen	mal
saiges	ADJqua	sage
.	PONfrt	.

Cecy	PROdem	cest
advint	VERcjg	advenir
justement	ADVgen	joutement
comme	ADVsub	comme
le	DETdef	le
roy	NOMcom	roi
print	VERcjg	prendre
Amyens	NOMpro	Amiens
sur	PRE	sur
le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
,	PONfbl	,
lequel	PROrel	lequel
estoit	VERcjg	estre
avecques	PRE	avec
ces	DETdem	ce
deux	PROcar	deux
dont	PROrel	dont
je	PROper	je
parle	VERcjg	parler
à	PRE	à
Dorlans	NOMpro	Dorlans
.	PONfrt	.

Il	PROper	il
se	PROper	soi
trouvoit	VERcjg	trouver
très	ADVgen	très
empesché	VERppe	empeschier
,	PONfbl	,
et	CONcoo	et
partit	VERcjg	partir
soudainement	ADVgen	soudainement
pour	PRE	pour
se	PROper	soi
retirer	VERinf	retirer
à	PRE	à
Hedin	NOMpro	Hedin
,	PONfbl	,
et	CONcoo	et
oublya	VERcjg	oublier
ceste	DETdem	cest
matière	NOMcom	matiere
.	PONfrt	.

Et	CONcoo	et
ce	DETdem	ce
jeune	ADJqua	jeune
duc	NOMcom	duc
print	VERcjg	prendre
ung	DETndf	un
habillement	NOMcom	habilement
de	PRE	de
François	NOMpro	Français
,	PONfbl	,
et	CONcoo	et
partit	VERcjg	partir
,	PONfbl	,
luy	PROper	lui
deuxiesme	PROord	deuxième
seullement	ADVgen	seulement
,	PONfbl	,
pour	PRE	pour
se	PROper	soi
retirer	VERinf	retirer
en	PRE	en
son	DETpos	son
pays	NOMcom	pays
.	PONfrt	.

En	PRE	en
passant	VERppa	passer
ung	DETndf	un
port	NOMcom	port
auprès	ADVgen	auprès
de	PRE	de
Namur	NOMpro	Namur
,	PONfbl	,
il	PROper	il
paya	VERcjg	payer
ung	DETndf	un
florin	NOMcom	florin
pour	PRE	pour
son	DETpos	son
passaige	NOMcom	passage
.	PONfrt	.

Ung	DETndf	un
prestre	NOMcom	prêtre
le	PROper	il
veït	VERcjg	voir
,	PONfbl	,
qui	PROrel	que
en	PROadv	en
print	VERcjg	prendre
suspicion	NOMcom	suppition
et	CONcoo	et
en	PROadv	en
parla	VERcjg	parler
au	PRE.DETdef	a
passaiger	NOMcom	passager
;	PONfbl	;
et	CONcoo	et
regarda	VERcjg	regarder
au	PRE.DETdef	a
visaige	NOMcom	visage
celuy	PROdem	cel
qui	PROrel	que
avoit	VERcjg	avoir
payé	VERppe	payer
ledict	DETcom	ledit
florin	NOMcom	florin
et	CONcoo	et
le	PROper	il
congneüt	VERcjg	connaître
;	PONfbl	;
et	CONcoo	et
là	ADVgen	là
fut	VERcjg	être
prins	VERppe	prendre
et	CONcoo	et
amené	VERppe	amener
à	PRE	à
Namur	NOMpro	Namur
,	PONfbl	,
et	CONcoo	et
y	PROadv	y
est	VERcjg	estre
demouré	VERppe	demeurer
prisonnier	NOMcom	prisonnier
jusques	PRE	jusque
au	PRE.DETdef	a
trespas	NOMcom	trespas
du	PRE.DETdef	de.le
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
,	PONfbl	,
que	CONsub	que
les	DETdef	le
Gantois	NOMpro	Gantois
le	PROper	il
misdrent	VERcjg	mettre
dehors	ADVgen	defors
.	PONfrt	.

Et	CONcoo	et
avoient	VERcjg	avoir
vouloir	VERinf	vouloir
de	PRE	de
luy	PROper	lui
faire	VERinf	faire
espouser	VERinf	esposer
par	PRE	par
force	NOMcom	force
celle	PROdem	celui
qui	PROrel	que
depuis	ADVgen	depuis
a	VERcjg	avoir
esté	VERppe	être
duchesse	ADJqua	douc
d'	PRE	de
Autriche	NOMpro	Autriche
,	PONfbl	,
et	CONcoo	et
le	PROper	il
menèrent	VERcjg	mener
avec	PRE	avec
eulx	PROper	eux
devant	PRE	devant
Tornay	NOMpro	Tounai
,	PONfbl	,
où	PROrel	où
il	PROper	il
fut	VERcjg	être
tué	VERppe	tüer
meschamment	ADVgen	meschamment
et	CONcoo	et
mal	ADVgen	mal
accompaigné	VERppe	accompagner
,	PONfbl	,
comme	CONsub	comme
si	CONsub	si
Dieu	NOMpro	Dieu
n'	ADVneg	ne
eust	VERcjg	avoir
pas	ADVneg	pas
encores	ADVgen	encore
esté	VERppe	être
saoul	ADJqua	saul
de	PRE	de
venger	VERinf	venger
cest	DETdem	cest
oultraige	NOMcom	outrage
qu'	PROrel	que
il	PROper	il
avoit	VERcjg	avoir
faict	VERppe	faire
à	PRE	à
son	DETpos	son
père	NOMcom	père
.	PONfrt	.

Le	DETdef	le
père	NOMcom	père
estoit	VERcjg	estre
mort	VERppe	mourir
avant	PRE	avant
le	DETdef	le
trespas	NOMcom	trespas
du	PRE.DETdef	de.le
duc	NOMcom	duc
de	PRE	de
Bourgogne	NOMpro	Burgonde
,	PONfbl	,
et	CONcoo	et
estant	VERppa	être
encores	ADVgen	encore
son	DETpos	son
filz	NOMcom	fil
en	PRE	en
prison	NOMcom	prison
;	PONfbl	;
et	CONcoo	et
,	PONfbl	,
à	PRE	à
son	DETpos	son
trespas	NOMcom	trespas
,	PONfbl	,
laissa	VERcjg	laisser
au	PRE.DETdef	a
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
sa	DETpos	son
succession	NOMcom	soscession
à	PRE	à
cause	NOMcom	cause
de	PRE	de
l'	DETdef	le
ingratitude	NOMcom	ingratitude
de	PRE	de
son	DETpos	son
filz	NOMcom	fil
.	PONfrt	.

Et	CONcoo	et
sur	PRE	sur
la	DETdef	le
querelle	NOMcom	querelle
dessusdicte	ADJqua	dessus-dit
conquist	VERcjg	conquerre
,	PONfbl	,
au	PRE.DETdef	a
temps	NOMcom	temps
que	PROrel	que
je	PROper	je
diz	VERcjg	dire
,	PONfbl	,
le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
la	DETdef	le
duché	NOMcom	duche
de	PRE	de
Gueldres	NOMpro	Gueldres
,	PONfbl	,
où	PROrel	où
il	PROper	il
trouva	VERcjg	trouver
resistance	NOMcom	resistance
.	PONfrt	.

Mais	CONcoo	mais
il	PROper	il
estoit	VERcjg	estre
puissant	ADJqua	poissant
et	CONcoo	et
en	PRE	en
trèves	NOMcom	treve
avec	PRE	avec
le	DETdef	le
roy	NOMcom	roi
et	CONcoo	et
la	PROper	il
posseda	VERcjg	posser
jusques	PRE	jusque
à	PRE	à
la	DETdef	le
mort	NOMcom	mort
,	PONfbl	,
et	CONcoo	et
encores	ADVgen	encore
jusques	PRE	jusque
au	PRE.DETdef	a
jourduy	NOMcom	jourdui
ceulx	PROdem	celui
qui	PROrel	que
sont	VERcjg	estre
descenduz	VERppe	descendre
de	PRE	de
luy	PROper	lui
,	PONfbl	,
et	CONcoo	et
tant	ADVgen	tant
qu'	CONsub	que
il	PROimp	il
plaira	VERcjg	plaire
à	PRE	à
Dieu	NOMpro	Dieu
.	PONfrt	.

Or	ADVgen	or
,	PONfbl	,
comme	CONsub	comme
j'	PROper	je
ay	VERcjg	avoir
dit	VERppe	dire
au	PRE.DETdef	a
commencement	NOMcom	commencement
,	PONfbl	,
je	PROper	je
n'	ADVneg	ne
ay	VERcjg	avoir
compté	VERppe	compter
cecy	PROdem	cest
que	ADVgen	que
pour	PRE	pour
monstrer	VERinf	montrer
que	CONsub	que
telles	DETind	tel
cruaultéz	NOMcom	cruauté
et	CONcoo	et
telz	DETind	tel
maulx	NOMcom	mal
ne	ADVneg	ne
demeurent	VERcjg	demeurer
point	ADVneg	point
impugniz	VERppe	impougnir
.	PONfrt	.

.	PONfrt	.

Icy	ADVgen	ici
commencent	VERcjg	commencer
les	DETdef	le
guerres	NOMcom	guerre
et	CONcoo	et
entreprinses	NOMcom	entreprise
que	PROrel	que
le	DETdef	le
duc	NOMcom	duc
Charles	NOMpro	Charles
feït	VERcjg	faire
en	PRE	en
Allemaigne	NOMpro	Allemagne
et	CONcoo	et
le	DETdef	le
siège	NOMcom	siège
qu'	PROrel	que
il	PROper	il
mist	VERcjg	mettre
devant	PRE	devant
Nuz	PROper	nous
.	PONfbl	.
”	PONpdr	”
“	PONpga	“
Le	DETdef	le
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
estoit	VERcjg	estre
retourné	VERppe	retourner
en	PRE	en
son	DETpos	son
pays	NOMcom	pays
et	CONcoo	et
avoit	VERcjg	avoir
le	DETdef	le
cueur	NOMcom	cueur
très	ADVgen	très
eslevé	VERppe	eslever
pour	PRE	pour
ceste	DETdem	cest
duché	NOMcom	duche
qu'	PROrel	que
il	PROper	il
avoit	VERcjg	avoir
joincte	VERppe	joindre
à	PRE	à
sa	DETpos	son
crosse	NOMcom	crosse
,	PONfbl	,
et	CONcoo	et
trouva	VERcjg	trouver
goust	NOMcom	gost
en	PRE	en
ces	DETdem	ce
choses	NOMcom	chose
d'	PRE	de
Alemaigne	NOMpro	Allemagne
,	PONfbl	,
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
l'	DETdef	le
empereur	NOMcom	empereur
estoit	VERcjg	estre
de	PRE	de
très	ADVgen	très
petit	ADJqua	petit
cueur	NOMcom	cueur
et	CONcoo	et
enduroit	VERcjg	endurer
toutes	DETind	tous
choses	NOMcom	chose
pour	PRE	pour
ne	CONcoo	ne
despendre	VERinf	dépendre
riens	PROind	rien
.	PONfrt	.

Et	CONcoo	et
aussi	ADVgen	aussi
de	PRE	de
soy	PROper	soi
,	PONfbl	,
sans	PRE	sans
l'	DETdef	le
ayde	NOMcom	aide
des	PRE.DETdef	de.le
autres	ADJind	autre
seigneurs	NOMcom	seigneur
d'	PRE	de
Alemaigne	NOMpro	Allemagne
,	PONfbl	,
ne	ADVneg	ne
povoit	VERcjg	pouvoir
pas	ADVneg	pas
grant	ADJqua	grant
chose	NOMcom	chose
.	PONfrt	.

Par	PRE	par
quoy	PROrel	quoi
ledict	DETcom	ledit
duc	NOMcom	duc
rallongea	VERcjg	rallongier
sa	DETpos	son
trève	NOMcom	treve
avec	PRE	avec
le	DETdef	le
roy	NOMcom	roi
,	PONfbl	,
et	CONcoo	et
sembla	VERcjg	sembler
à	PRE	à
aucuns	PROind	aucun
des	PRE.DETdef	de.le
serviteurs	NOMcom	serviteur
du	PRE.DETdef	de.le
roy	NOMcom	roi
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
devoit	VERcjg	devoir
point	ADVneg	point
allonger	VERinf	allonger
ladicte	DETcom	ladit
trève	NOMcom	treve
ne	CONcoo	ne
laisser	VERinf	laisser
venir	VERinf	venir
au	PRE.DETdef	a
duc	NOMcom	duc
si	ADVgen	si
grant	ADJqua	grant
bien	NOMcom	bien
.	PONfrt	.

Bon	ADJqua	bon
sens	NOMcom	sens
leur	PROper	leur
faisoit	VERcjg	faire
dire	VERinf	dire
ces	DETdem	ce
motz	NOMcom	mot
;	PONfbl	;
mais	CONcoo	mais
,	PONfbl	,
par	PRE	par
faulte	NOMcom	faute
d'	PRE	de
experience	NOMcom	expérience
et	CONcoo	et
de	PRE	de
avoir	VERinf	avoir
veü	VERppe	vëoir
,	PONfbl	,
ilz	PROper	il
n'	ADVneg	ne
entendoient	VERcjg	entendre
point	ADVneg	point
ceste	DETdem	cest
matière	NOMcom	matiere
.	PONfrt	.

Il	PROimp	il
en	PROadv	en
y	PROadv	y
a	VERcjg	avoir
eu	VERppe	avoir
quelques	DETind	quel
autres	PROind	autre
myeulx	ADVgen	mieux
entendans	VERppa	entendre
ce	DETdem	ce
cas	NOMcom	cas
que	CONsub	que
eulx	PROper	eux
et	CONcoo	et
qui	PROrel	que
avoient	VERcjg	avoir
plus	ADVgen	plus
grand	ADJqua	grand
congnoissance	NOMcom	connaissance
pour	PRE	pour
avoir	VERinf	avoir
esté	VERppe	être
sur	PRE	sur
les	DETdef	le
lieux	NOMcom	lieu
,	PONfbl	,
qui	PROrel	que
dirent	VERcjg	dire
au	PRE.DETdef	a
roy	NOMcom	roi
nostre	DETpos	notre
maistre	NOMcom	maître
que	CONsub	que
hardiement	ADVgen	hardiment
print	VERcjg	prendre
ceste	DETdem	cest
trève	NOMcom	treve
et	CONcoo	et
qu'	CONsub	que
il	PROper	il
souffrist	VERcjg	souffrir
audict	PRE.DETcom	à.ledit
duc	NOMcom	duc
soy	PROper	soi
aller	VERinf	aller
heurter	VERinf	hurter
contre	PRE	contre
ces	DETdem	ce
Allemaignes	NOMpro	Allemagne
(	PONpga	(
qui	PROrel	que
est	VERcjg	estre
chose	NOMcom	chose
si	ADVgen	si
grande	ADJqua	grand
et	CONcoo	et
si	ADVgen	si
puissante	ADJqua	poissant
qu'	CONsub	que
il	PROper	il
est	VERcjg	estre
presque	ADVgen	près
increable	ADJqua	incroyable
)	PONpdr	)
,	PONfbl	,
disans	VERppa	dire
:	PONfbl	:
“	PONpga	“
quant	CONsub	cant
le	DETdef	le
duc	NOMcom	duc
aura	VERcjg	avoir
prins	VERppe	prendre
une	DETndf	un
place	NOMcom	place
ou	CONcoo	o
mené	VERppe	mener
à	PRE	à
fin	NOMcom	fin
une	DETndf	un
querelle	NOMcom	querelle
,	PONfbl	,
il	PROper	il
en	PROadv	en
entreprendra	VERcjg	entreprendre
une	DETndf	un
autre	PROind	autre
ny	CONcoo	ni
n'	ADVneg	ne
est	VERcjg	estre
pas	ADVneg	pas
homme	NOMcom	homme
pour	PRE	pour
jamais	ADVgen	jamais
se	PROper	soi
saouler	VERinf	säoler
d'	PRE	de
une	DETndf	un
entreprinse	NOMcom	entreprise
”	PONpdr	”
(	PONpga	(
et	CONcoo	et
en	PRE	en
cela	PROdem	cel
estoit	VERcjg	estre
opposite	NOMcom	oposite
au	PRE.DETdef	a
roy	NOMcom	roi
,	PONfbl	,
car	CONcoo	car
plus	ADVgen	plus
estoit	VERcjg	estre
embrouillé	VERppe	embrouiller
,	PONfbl	,
plus	ADVgen	plus
s'	PROper	soi
embrouilloit	VERcjg	embrouiller
)	PONpdr	)
“	PONpga	“
et	CONcoo	et
que	CONsub	que
myeulx	ADVgen	mieux
ne	ADVneg	ne
se	PROper	soi
pourroit	VERcjg	pouvoir
venger	VERinf	venger
de	PRE	de
luy	PROper	lui
que	CONsub	que
de	PRE	de
le	PROper	il
laisser	VERinf	laisser
faire	VERinf	faire
et	CONcoo	et
avant	PRE	avant
luy	PROper	lui
faire	VERinf	faire
ung	DETndf	un
petit	NOMcom	petit
d'	PRE	de
ayde	NOMcom	aide
et	CONcoo	et
ne	ADVneg	ne
luy	PROper	lui
donner	VERinf	donner
nulle	DETind	nul
suspicion	NOMcom	suppition
de	PRE	de
lui	PROper	il
rompre	VERinf	rompre
ceste	DETdem	cest
trefve	NOMcom	trefve
:	PONfbl	:
car	CONcoo	car
,	PONfbl	,
à	PRE	à
la	DETdef	le
grandeur	NOMcom	grandeur
d'	PRE	de
Allemaigne	NOMpro	Allemagne
et	CONcoo	et
à	PRE	à
la	DETdef	le
puissance	NOMcom	poissance
qui	PROrel	que
y	PROadv	y
est	VERcjg	estre
,	PONfbl	,
n'	ADVneg	ne
estoit	VERcjg	estre
pas	ADVneg	pas
possible	ADJqua	possible
que	CONsub	que
tost	ADVgen	tost
ne	ADVneg	ne
se	PROper	soi
consumast	VERcjg	consumer
et	CONcoo	et
ne	ADVneg	ne
se	PROper	soi
perdist	VERcjg	perdre
de	PRE	de
tous	DETind	tous
pointz	NOMcom	point
.	PONfrt	.

Car	CONcoo	car
les	DETdef	le
princes	NOMcom	prince
de	PRE	de
l'	DETdef	le
empire	NOMcom	empire
,	PONfbl	,
encores	ADVgen	encore
que	CONsub	que
l'	DETdef	le
empereur	NOMcom	empereur
fust	VERcjg	estre
homme	NOMcom	homme
de	PRE	de
peu	ADVgen	peu
de	PRE	de
vertuz	NOMcom	vertu
,	PONfbl	,
y	PROadv	y
donneront	VERcjg	donner
