Cy	ADVgen	ci
lettres	NOMcom	lettre
et	CONcoo	et
prendre	VERinf	prendre
bullettes	NOMcom	boulete
,	PONfbl	,
et	CONcoo	et
porter	VERinf	porter
en	PRE	en
la	DETdef	le
cité	NOMcom	cité
de	PRE	de
Ferrare	NOMpro	Ferrare
qui	PROrel	que
est	VERcjg	estre
a	PRE	a
deux	DETcar	deux
lieues	NOMcom	lieue
du	PRE.DETdef	de.le
rivage	NOMcom	rivage
,	PONfbl	,
laquelle	PROrel	lequel
est	VERcjg	estre
tresgrosse	ADJqua	trégrosse
et	CONcoo	et
tresbelle	ADJqua	traisbel
cité	NOMcom	cité
.	PONfrt	.

Du	PRE.DETdef	de.le
pont	NOMcom	pont
d'	PRE	de
Escure	NOMpro	Escure
a	PRE	a
Corbe	NOMpro	Corbe
d'	PRE	de
Essure	NOMpro	Essure
,	PONfbl	,
et	CONcoo	et
apprès	ADVgen	après
a	PRE	a
Corbe	NOMpro	Corbe
d'	PRE	de
Esson	NOMpro	Esson
.	PONfrt	.

Et	CONcoo	et
par	PRE	par
tous	DETind	tous
lesdits	DETcom	ledit
passages	NOMcom	passage
fault	VERcjg	falir
monstrer	VERinf	montrer
lettres	NOMcom	lettre
et	CONcoo	et
bullettes	NOMcom	boulete
,	PONfbl	,
qui	PROrel	que
les	PROper	il
a	VERcjg	avoir
;	PONfbl	;
et	CONcoo	et
qui	PROrel	que
n'	ADVneg	ne
a	VERcjg	avoir
lettres	NOMcom	lettre
de	PRE	de
past	NOMcom	past
,	PONfbl	,
sy	ADVgen	si
faut	VERcjg	falir
il	PROimp	il
payer	VERinf	payer
la	DETdef	le
gabelle	NOMcom	gabelle
partout	ADVgen	partout
.	PONfrt	.

De	PRE	de
Corbe	NOMpro	Corbe
d'	PRE	de
Esson	NOMpro	Esson
a	PRE	a
Cluge	NOMpro	Cluge
;	PONfbl	;
de	PRE	de
Cluge	NOMpro	Cluge
a	PRE	a
Venise	NOMpro	Venise
.	PONfrt	.

Nous	PROper	nous
arrivasmes	VERcjg	arriver
a	PRE	a
Venise	NOMpro	Venise
le	DETdef	le
lundi	NOMcom	lundi
.IXe	PROcar	neuf
.	PONfrt	.

jour	NOMcom	jour
d'	PRE	de
aoust	NOMcom	août
laquelle	PROrel	lequel
est	VERcjg	estre
tresexcellante	ADJqua	trésellent
,	PONfbl	,
noble	ADJqua	noble
,	PONfbl	,
grande	ADJqua	grand
et	CONcoo	et
belle	ADJqua	beau
cité	NOMcom	cité
,	PONfbl	,
toute	ADVgen	tout
assize	VERppe	asseoir
en	PRE	en
mer	NOMcom	mer
.	PONfrt	.

En	PRE	en
ladite	DETcom	ledit
cité	NOMcom	cité
de	PRE	de
Venise	NOMpro	Venise
a	VERcjg	avoir
moult	ADVgen	moult
de	PRE	de
belles	ADJqua	beau
eglises	NOMcom	église
,	PONfbl	,
esquelles	PRE.PROrel	en.lequel
nous	PROper	nous
furent	VERcjg	estre
monstrées	VERppe	montrer
plusieurs	DETind	plusieurs
sainctes	ADJqua	saint
reliques	NOMcom	relique
,	PONfbl	,
desquelles	PRE.PROrel	de.lequel
les	DETdef	le
noms	NOMcom	nom
sont	VERcjg	estre
cy	ADVgen	ci
apprès	ADVgen	après
escrips	NOMcom	écrit
.	PONfrt	.

Premiers	ADVgen	premier
,	PONfbl	,
en	PRE	en
l'	DETdef	le
eglise	NOMcom	église
Saint	ADJqua	saint
George	NOMpro	Georges
est	VERcjg	estre
le	DETdef	le
bras	NOMcom	bras
de	PRE	de
monseigneur	NOMcom	monseigneur
saint	ADJqua	saint
George	NOMpro	Georges
;	PONfbl	;
item	ETR	item
,	PONfbl	,
le	DETdef	le
bras	NOMcom	bras
de	PRE	de
madame	NOMcom	madame
saincte	ADJqua	saint
Lucie	NOMpro	Luce
;	PONfbl	;
item	ETR	item
,	PONfbl	,
les	DETdef	le
deux	ADJcar	deux
chiefz	NOMcom	chef
de	PRE	de
saint	ADJqua	saint
Cosme	NOMpro	Cosme
et	CONcoo	et
saint	ADJqua	saint
Damien	NOMpro	Damien
;	PONfbl	;
item	ETR	item
,	PONfbl	,
le	DETdef	le
corps	NOMcom	corps
de	PRE	de
saint	ADJqua	saint
Pol	NOMpro	Paul
martir	NOMcom	martyr
,	PONfbl	,
duc	NOMcom	duc
de	PRE	de
Bourgongne	NOMpro	Burgonde
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
en	PRE	en
l'	DETdef	le
eglise	NOMcom	église
de	PRE	de
monseigneur	NOMcom	monseigneur
Saint	ADJqua	saint
Nicolas	NOMpro	Nicolas
,	PONfbl	,
est	VERcjg	estre
le	DETdef	le
bourdon	NOMcom	bourdon
de	PRE	de
saint	ADJqua	saint
Nicolas	NOMpro	Nicolas
;	PONfbl	;
item	ETR	item
,	PONfbl	,
ung	PROind	un
de	PRE	de
ses	DETpos	son
gros	ADJqua	gros
dans	NOMcom	dan
;	PONfbl	;
item	ETR	item
,	PONfbl	,
ung	PROind	un
de	PRE	de
ses	DETpos	son
dois	NOMcom	dois
;	PONfbl	;
item	ETR	item
,	PONfbl	,
la	DETdef	le
main	NOMcom	main
de	PRE	de
Prophire	NOMpro	Prophire
l'	DETdef	le
evesque	NOMcom	évêque
,	PONfbl	,
qui	PROrel	que
baptisa	VERcjg	bonheuré
saincte	ADJqua	saint
Katherine	NOMpro	Catherine
;	PONfbl	;
item	ETR	item
,	PONfbl	,
la	DETdef	le
cruche	NOMcom	crouche
a	PRE	a
deux	DETcar	deux
menevelles	NOMcom	ménevelle
,	PONfbl	,
qui	PROrel	que
est	VERcjg	estre
de	PRE	de
mette	NOMcom	mette
a	PRE	a
maniere	NOMcom	manière
de	PRE	de
voirre	NOMcom	voirre
,	PONfbl	,
en	PRE	en
laquelle	PROrel	lequel
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
Jhesus	NOMpro	Jésus
Crist	NOMpro	Christ
mua	VERcjg	müer
l'	DETdef	le
eaue	NOMcom	eau
en	PRE	en
vin	NOMcom	vin
;	PONfbl	;
item	ETR	item
,	PONfbl	,
les	DETdef	le
piez	NOMcom	pié
de	PRE	de
Marie	NOMpro	Marie
Egiptienne	NOMpro	Egiptene
;	PONfbl	;
item	ETR	item
,	PONfbl	,
l'	DETdef	le
oreille	NOMcom	oreille
de	PRE	de
saint	ADJqua	saint
Pol	NOMpro	Paul
l'	DETdef	le
appostre	NOMcom	appostle
;	PONfbl	;
item	ETR	item
,	PONfbl	,
la	DETdef	le
pouldre	NOMcom	poudre
de	PRE	de
la	DETdef	le
char	NOMcom	char
rostie	NOMcom	rostie
de	PRE	de
saint	NOMcom	saint
Laurent	NOMpro	Laurant
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
a	PRE	a
Mara	NOMpro	Mare
,	PONfbl	,
en	PRE	en
l'	DETdef	le
eglise	NOMcom	église
des	PRE.DETdef	de.le
Innocens	NOMcom	innocent
,	PONfbl	,
a	PRE	a
moult	ADVgen	moult
grant	ADJqua	grant
quantité	NOMcom	quantité
des	PRE.DETdef	de.le
os	NOMcom	os
Innocens	VERcjg	innocer
en	PRE	en
une	DETndf	un
huche	NOMcom	huche
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
a	PRE	a
Saincte	ADJqua	saint
Marie	NOMpro	Marie
Cresequier	NOMpro	Cresequier
est	VERcjg	estre
le	DETdef	le
corps	NOMcom	corps
de	PRE	de
saincte	ADJqua	saint
Barbe	NOMpro	Barbe
,	PONfbl	,
vierge	NOMcom	vierge
;	PONfbl	;
item	ETR	item
,	PONfbl	,
l'	DETdef	le
os	NOMcom	os
de	PRE	de
la	DETdef	le
cuisse	NOMcom	cuisse
de	PRE	de
saint	ADJqua	saint
Christofle	NOMpro	Christole
et	CONcoo	et
l'	DETdef	le
un	PROind	un
de	PRE	de
ses	DETpos	son
dens	NOMcom	dent
;	PONfbl	;
item	ETR	item
,	PONfbl	,
l'	DETdef	le
os	NOMcom	os
de	PRE	de
l'	DETdef	le
un	PROind	un
des	PRE.DETdef	de.le
bras	NOMcom	bras
saint	ADJqua	saint
Laurent	VERcjg	laver
;	PONfbl	;
item	ETR	item
,	PONfbl	,
l'	DETdef	le
os	NOMcom	os
de	PRE	de
l'	DETdef	le
un	PROind	un
des	PRE.DETdef	de.le
bras	NOMcom	bras
de	PRE	de
saint	ADJqua	saint
Jaques	NOMpro	Jacques
le	DETdef	le
Petit	ADJqua	petit
;	PONfbl	;
item	ETR	item
,	PONfbl	,
le	DETdef	le
chief	NOMcom	chief
de	PRE	de
saincte	ADJqua	saint
Sabine	NOMpro	Sabin
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
en	PRE	en
l'	DETdef	le
eglise	NOMcom	église
de	PRE	de
Saincte	ADJqua	saint
Lucie	NOMpro	Luce
est	VERcjg	estre
le	DETdef	le
corps	NOMcom	corps
de	PRE	de
saincte	ADJqua	saint
Lucie	NOMpro	Luce
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
a	PRE	a
Saint	ADJqua	saint
Perre	NOMcom	père
le	DETdef	le
Chastel	NOMcom	chastel
est	VERcjg	estre
la	DETdef	le
pierre	NOMcom	piere
sur	PRE	sur
quoy	PROrel	quoi
il	PROper	il
fut	VERcjg	être
lappidés	VERppe	lappider
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
a	PRE	a
Saincte	ADJqua	saint
Marie	NOMpro	Marie
Celeste	ADJqua	céleste
est	VERcjg	estre
la	DETdef	le
jambe	NOMcom	jambe
de	PRE	de
monseigneur	NOMcom	monseigneur
saint	ADJqua	saint
Laurent	VERcjg	laver
le	DETdef	le
martir	NOMcom	martyr
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
a	PRE	a
Saint	ADJqua	saint
Zacarie	NOMpro	<unk>acharie
est	VERcjg	estre
le	DETdef	le
corps	NOMcom	corps
de	PRE	de
saint	ADJqua	saint
Zacarie	NOMpro	<unk>acharie
,	PONfbl	,
pere	NOMcom	père
de	PRE	de
monseigneur	NOMcom	monseigneur
saint	ADJqua	saint
Jehan	NOMpro	Jean
Baptiste	NOMpro	Baptiste
;	PONfbl	;
item	ETR	item
,	PONfbl	,
le	DETdef	le
corps	NOMcom	corps
de	PRE	de
saint	ADJqua	saint
Gregoire	NOMpro	Grégoire
,	PONfbl	,
evesque	NOMcom	évêque
;	PONfbl	;
item	ETR	item
,	PONfbl	,
trois	PROcar	trois
des	PRE.DETdef	de.le
caillotz	NOMcom	caillo
dont	PROrel	dont
saint	ADJqua	saint
Estienne	NOMpro	Etienne
fut	VERcjg	être
lappidez	VERppe	lappider
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
en	PRE	en
l'	DETdef	le
eglise	NOMcom	église
de	PRE	de
Saint	ADJqua	saint
Daniel	NOMpro	Daniel
est	VERcjg	estre
le	DETdef	le
corps	NOMcom	corps
de	PRE	de
saint	ADJqua	saint
Jehan	NOMpro	Jean
le	DETdef	le
martir	NOMcom	martyr
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
en	PRE	en
l'	DETdef	le
eglise	NOMcom	église
de	PRE	de
Saincte	ADJqua	saint
Helaine	NOMpro	Helain
est	VERcjg	estre
le	DETdef	le
corps	NOMcom	corps
de	PRE	de
saincte	ADJqua	saint
Helaine	NOMpro	Helain
;	PONfbl	;
item	ETR	item
,	PONfbl	,
une	DETndf	un
croix	NOMcom	croix
double	ADJqua	double
faicte	VERppe	faire
de	PRE	de
la	DETdef	le
vraie	ADJqua	vrai
Croix	NOMcom	croix
de	PRE	de
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
Jhesus	NOMpro	Jésus
Crist	NOMpro	Christ
,	PONfbl	,
laquelle	PROrel	lequel
ladicte	DETcom	ladit
saincte	ADJqua	saint
Helaine	NOMpro	Helain
avoit	VERcjg	avoir
usage	NOMcom	usage
de	PRE	de
porter	VERinf	porter
en	PRE	en
sa	DETpos	son
main	NOMcom	main
par	PRE	par
devocion	NOMcom	devocïon
;	PONfbl	;
item	ETR	item
,	PONfbl	,
l'	DETdef	le
os	NOMcom	os
de	PRE	de
la	DETdef	le
gorge	NOMcom	gorge
saincte	ADJqua	saint
Marie	NOMpro	Marie
Magdelaine	NOMpro	Magelain
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
en	PRE	en
l'	DETdef	le
eglise	NOMcom	église
de	PRE	de
Saint	ADJqua	saint
Marc	NOMpro	Marc
de	PRE	de
Venise	NOMpro	Venise
,	PONfbl	,
le	DETdef	le
corps	NOMcom	corps
dudict	PRE.DETcom	de.ledit
saint	ADJqua	saint
Marc	NOMpro	Marc
,	PONfbl	,
qui	PROrel	que
moult	ADVgen	moult
est	VERcjg	estre
belle	ADJqua	beau
et	CONcoo	et
noble	ADJqua	noble
chose	NOMcom	chose
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
en	PRE	en
la	DETdef	le
Maison	NOMcom	maison
Dieu	NOMpro	Dieu
de	PRE	de
Venise	NOMpro	Venise
est	VERcjg	estre
