Comment	ADVsub	comment
vous	PROper	vous
estes	VERcjg	estre
le	DETdef	le
plus	ADVgen	plus
ancien	ADJqua	ancien
et	CONcoo	et
avez	VERcjg	avoir
le	DETdef	le
plus	ADVgen	plus
veu	VERppe	voir
,	PONfbl	,
et	CONcoo	et
est	VERcjg	estre
raison	NOMcom	raison
que	CONsub	que
vous	PROper	vous
parlez	VERcjg	parler
le	DETdef	le
premier	NOMcom	premier
.	PONfrt	.

Que	PROint	que
vous	PROper	vous
semble	VERcjg	sembler
que	CONsub	que
nous	PROper	nous
ayons	VERcjg	avoir
à	PRE	à
faire	VERinf	faire
?	PONfrt	?

”	PONpdr	”
”	PONpdr	”
“	PONpga	“
“	PONpga	“
Monseigneur	NOMcom	monseigneur
,	PONfbl	,
dit	VERcjg	dire
le	DETdef	le
cappitaine	NOMcom	chapitaine
de	PRE	de
Crathor	NOMpro	Crathor
,	PONfbl	,
il	PROimp	il
n'	ADVneg	ne
y	PROadv	y
a	VERcjg	avoir
cellui	PROdem	celui
de	PRE	de
tous	DETind	tous
mes	DETpos	mon
compaignons	NOMcom	compagnon
qui	PROrel	que
n'	ADVneg	ne
en	PROadv	en
sceust	VERcjg	savoir
mieulx	ADVgen	mieux
parler	VERinf	parler
que	CONsub	que
moy	PROper	moi
.	PONfrt	.

Mais	CONcoo	mais
,	PONfbl	,
quant	CONsub	cant
le	PROper	il
vous	PROper	vous
plaist	VERcjg	plaire
me	PROper	je
commander	VERinf	commander
,	PONfbl	,
je	PROper	je
ne	ADVneg	ne
me	PROper	je
doy	VERcjg	devoir
pas	ADVneg	pas
excuser	VERinf	excuser
de	PRE	de
parler	VERinf	parler
et	CONcoo	et
en	PROadv	en
dire	VERinf	dire
ce	PROdem	ce
que	PROrel	que
je	PROper	je
sauray	VERcjg	savoir
et	CONcoo	et
pourray	VERcjg	pouvoir
.	PONfrt	.

Monseigneur	NOMcom	monseigneur
,	PONfbl	,
je	PROper	je
croy	VERcjg	croire
que	CONsub	que
,	PONfbl	,
quant	CONsub	cant
vous	PROper	vous
estes	VERcjg	estre
parti	VERppe	partir
de	PRE	de
devers	PRE	devers
le	DETdef	le
Roy	NOMcom	roi
,	PONfbl	,
vous	PROper	vous
n'	ADVneg	ne
aviez	VERcjg	avoir
autre	DETind	autre
charge	NOMcom	charge
que	CONsub	que
de	PRE	de
secourir	VERinf	secourir
ceste	DETdem	cest
place	NOMcom	place
et	CONcoo	et
ville	NOMcom	ville
de	PRE	de
Crathor	NOMpro	Crathor
,	PONfbl	,
laquelle	PROrel	lequel
,	PONfbl	,
la	DETdef	le
merci	NOMcom	merci
Dieu	NOMpro	Dieu
et	CONcoo	et
la	DETdef	le
vostre	PROpos	vostre
!	PONfrt	!

vous	PROper	vous
avez	VERcjg	avoir
secourue	VERppe	secourir
et	CONcoo	et
levé	VERppe	lever
le	DETdef	le
siège	NOMcom	siège
au	PRE.DETdef	a
grant	ADJqua	grant
honneur	NOMcom	honneur
du	PRE.DETdef	de.le
Roy	NOMcom	roi
et	CONcoo	et
de	PRE	de
vous	PROper	vous
et	CONcoo	et
au	PRE.DETdef	a
grant	ADJqua	grant
proffit	NOMcom	profit
du	PRE.DETdef	de.le
payz	NOMcom	pay
et	CONcoo	et
de	PRE	de
tout	DETind	tout
le	DETdef	le
royaulme	NOMcom	royaume
.	PONfrt	.

Vous	PROper	vous
avez	VERcjg	avoir
bien	ADVgen	bien
et	CONcoo	et
honnourablement	ADVgen	honorablement
executée	VERppe	exécuter
vostre	DETpos	vostre
commission	NOMcom	commission
.	PONfrt	.

Si	ADVgen	si
vous	PROper	vous
entreprenez	VERcjg	entreprendre
plus	ADVgen	plus
avant	PRE	avant
qu'	CONsub	que
il	PROimp	il
ne	ADVneg	ne
vous	PROper	vous
est	VERcjg	estre
commandé	VERppe	commander
,	PONfbl	,
et	CONcoo	et
il	PROimp	il
vous	PROper	vous
avenoit	VERcjg	advenir
aucun	DETind	aucun
hazart	NOMcom	hasart
,	PONfbl	,
vous	PROper	vous
en	PROadv	en
pourriez	VERcjg	pouvoir
avoir	VERinf	avoir
blasme	NOMcom	blasme
.	PONfrt	.

Je	PROper	je
ne	ADVneg	ne
vois	VERcjg	aler
point	ADVneg	point
que	CONsub	que
vous	PROper	vous
ayez	VERcjg	avoir
artillerie	NOMcom	artillère
pour	PRE	pour
mettre	VERinf	mettre
siège	NOMcom	siège
;	PONfbl	;
je	PROper	je
ne	ADVneg	ne
scay	VERcjg	savoir
comme	ADVsub	comme
vous	PROper	vous
estes	VERcjg	estre
fondez	VERppe	fondre
d'	PRE	de
argent	NOMcom	argent
.	PONfrt	.

Le	DETdef	le
duc	NOMcom	duc
Baudouin	NOMpro	Baudouin
est	VERcjg	estre
aussi	ADVgen	aussi
puissant	ADJqua	poissant
que	CONsub	que
vous	PROper	vous
estes	VERcjg	estre
.	PONfrt	.

Il	PROper	il
est	VERcjg	estre
en	PRE	en
son	DETpos	son
païs	NOMcom	päis
,	PONfbl	,
en	PRE	en
fortes	ADJqua	fort
villes	NOMcom	ville
et	CONcoo	et
fors	PRE	fors
chasteaux	NOMcom	château
.	PONfrt	.

La	DETdef	le
saison	NOMcom	saison
est	VERcjg	estre
morte	VERppe	morir
.	PONfrt	.

Je	PROper	je
ne	ADVneg	ne
congnoys	VERcjg	connaître
point	ADVneg	point
que	CONsub	que
puissez	VERcjg	pouvoir
rien	PROind	rien
besongner	VERinf	besogner
.	PONfrt	.

Vous	PROper	vous
mengez	VERcjg	manger
yci	ADVgen	ici
voz	DETpos	vostre
vivres	NOMcom	vivre
et	CONcoo	et
ne	ADVneg	ne
vous	PROper	vous
peut	VERcjg	pouvoir
plus	ADVgen	plus
la	DETdef	le
ville	NOMcom	ville
soustenir	VERinf	soutenir
;	PONfbl	;
et	CONcoo	et
ne	ADVneg	ne
voy	VERcjg	vëoir
point	ADVneg	point
pour	PRE	pour
ceste	DETdem	cest
heure	NOMcom	heure
que	PROrel	que
vous	PROper	vous
puissez	VERcjg	pouvoir
riens	PROind	rien
entreprendre	VERinf	entreprendre
.	PONfrt	.

Et	CONcoo	et
me	PROper	je
semble	VERcjg	sembler
qu'	CONsub	que
il	PROimp	il
est	VERcjg	estre
force	NOMcom	force
que	CONsub	que
vous	PROper	vous
emmenez	VERcjg	emmener
voz	DETpos	vostre
gens	NOMcom	gens
et	CONcoo	et
vous	PROper	vous
retirez	VERcjg	retirer
devers	PRE	devers
le	DETdef	le
Roy	NOMcom	roi
.	PONfrt	.

Et	CONcoo	et
là	ADVgen	là
conclurez	VERcjg	conclurer
quelque	DETind	quel
bonne	ADJqua	bon
chose	NOMcom	chose
pour	PRE	pour
la	DETdef	le
saison	NOMcom	saison
nouvelle	ADJqua	nouveau
.	PONfrt	.

Car	CONcoo	car
,	PONfbl	,
quant	CONsub	cant
entrer	VERinf	entrer
on	PROind	on
veult	VERcjg	vouloir
en	PRE	en
païs	NOMcom	päis
ou	CONcoo	o
faire	VERinf	faire
conqueste	NOMcom	conquête
sur	PRE	sur
ses	DETpos	son
ennemis	NOMcom	ennemi
,	PONfbl	,
on	PROind	on
doit	VERcjg	devoir
preparer	VERinf	preparer
son	DETpos	son
fait	NOMcom	fait
dès	PRE	dès
l'	DETdef	le
iver	NOMcom	iver
.	PONfrt	.

Et	CONcoo	et
me	PROper	je
semble	VERcjg	sembler
que	CONsub	que
c'	PROdem	ce
est	VERcjg	estre
quanque	PROrel	cant
vous	PROper	vous
pourrez	VERcjg	pouvoir
faire	VERinf	faire
que	CONsub	que
de	PRE	de
commencer	VERinf	commencer
,	PONfbl	,
quant	CONsub	cant
vous	PROper	vous
serez	VERcjg	être
devers	PRE	devers
le	DETdef	le
Roy	NOMcom	roi
,	PONfbl	,
voz	DETpos	vostre
preparatifz	NOMcom	préparatif
pour	PRE	pour
le	DETdef	le
temps	NOMcom	temps
d'	PRE	de
esté	NOMcom	esté
.	PONfbl	.
”	PONpdr	”
Fynablement	ADVgen	finablement
tous	PROind	tous
furent	VERcjg	estre
d'	PRE	de
oppinion	NOMcom	opinion
du	PRE.DETdef	de.le
viel	ADJqua	vieux
cappitaine	NOMcom	chapitaine
de	PRE	de
Crathor	NOMpro	Crathor
.	PONfrt	.

Après	PRE	après
ce	PROdem	ce
,	PONfbl	,
le	DETdef	le
conte	NOMcom	conte
dit	VERcjg	dire
au	PRE.DETdef	a
cappitaine	NOMcom	chapitaine
de	PRE	de
Crathor	NOMpro	Crathor
qu'	CONsub	que
il	PROper	il
se	PROper	soi
retirast	VERcjg	retirer
lui	PROper	il
et	CONcoo	et
ses	DETpos	son
compaignons	NOMcom	compagnon
;	PONfbl	;
et	CONcoo	et
ainsi	ADVgen	ainsi
le	PROper	il
firent	VERcjg	faire
.	PONfrt	.

Adoncques	ADVgen	adonc
le	DETdef	le
conte	NOMcom	conte
de	PRE	de
Parvanchières	NOMpro	Parvanchières
se	PROper	soi
retira	VERcjg	retirer
en	PRE	en
conseil	NOMcom	conseil
avecques	PRE	avec
aucuns	DETind	aucun
seigneurs	NOMcom	seigneur
,	PONfbl	,
les	DETdef	le
Mareschaulx	NOMpro	Mareschal
,	PONfbl	,
le	DETdef	le
Maistre	NOMcom	maître
des	PRE.DETdef	de.le
arbalestriers	NOMcom	arbalétrier
,	PONfbl	,
l'	DETdef	le
Admiral	NOMpro	Ammiral
et	CONcoo	et
autres	DETind	autre
cappitaines	NOMcom	chapitaine
,	PONfbl	,
et	CONcoo	et
demanda	VERcjg	demander
qu'	PROrel	que
il	PROimp	il
estoit	VERcjg	estre
à	PRE	à
faire	VERinf	faire
.	PONfrt	.

Tous	PROind	tous
furent	VERcjg	estre
de	PRE	de
l'	DETdef	le
oppinion	NOMcom	opinion
du	PRE.DETdef	de.le
viel	ADJqua	vieux
cappitaine	NOMcom	chapitaine
de	PRE	de
Crathor	NOMpro	Crathor
et	CONcoo	et
dirent	VERcjg	dire
au	PRE.DETdef	a
conte	NOMcom	conte
que	CONsub	que
force	NOMcom	force
lui	PROper	il
estoit	VERcjg	estre
de	PRE	de
ainsi	ADVgen	ainsi
le	PROper	il
faire	VERinf	faire
,	PONfbl	,
dont	PROrel	dont
le	DETdef	le
conte	NOMcom	conte
fut	VERcjg	être
bien	ADVgen	bien
desplaisant	VERppa	déplaire
qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
povoit	VERcjg	pouvoir
entreprendre	VERinf	entreprendre
aucune	DETind	aucun
chose	NOMcom	chose
sur	PRE	sur
ses	DETpos	son
ennemis	NOMcom	ennemi
.	PONfrt	.

Mais	CONcoo	mais
force	NOMcom	force
luy	PROper	lui
estoit	VERcjg	estre
d'	PRE	de
estre	VERinf	estre
de	PRE	de
la	DETdef	le
plus	ADVgen	plus
grant	ADJqua	grant
oppinion	NOMcom	opinion
.	PONfrt	.

Puis	ADVgen	puis
demanda	VERcjg	demander
:	PONfbl	:
“	PONpga	“
Messeigneurs	NOMcom	messeigneur
,	PONfbl	,
qu'	PROint	que
est	VERcjg	estre
”	PONpdr	”
“	PONpga	“
il	PROimp	il
à	PRE	à
faire	VERinf	faire
?	PONfrt	?

”	PONpdr	”
Tous	PROind	tous
à	PRE	à
une	DETndf	un
voix	NOMcom	voix
dirent	VERcjg	dire
:	PONfbl	:
“	PONpga	“
Allez	VERcjg	aler
”	PONpdr	”
“	PONpga	“
vous	PROper	vous
en	PROadv	en
le	DETdef	le
plus	ADVgen	plus
tost	ADVgen	tost
que	PROrel	que
vous	PROper	vous
pourrez	VERcjg	pouvoir
,	PONfbl	,
car	CONcoo	car
vous	PROper	vous
destruisez	VERcjg	détruire
ceste	DETdem	cest
ville	NOMcom	ville
.	PONfrt	.

Laissez	VERcjg	laisser
aucun	DETind	aucun
nombre	NOMcom	nombre
de	PRE	de
gens	NOMcom	gens
plus	ADVgen	plus
qu'	CONsub	que
il	PROimp	il
n'	ADVneg	ne
y	PROadv	y
avoit	VERcjg	avoir
et	CONcoo	et
quelque	DETind	quel
argent	NOMcom	argent
pour	PRE	pour
avoir	VERinf	avoir
des	PRE.DETdef	de.le
vivres	NOMcom	vivre
en	PRE	en
lieu	NOMcom	lieu
de	PRE	de
ceulx	PROdem	celui
que	PROrel	que
vous	PROper	vous
avez	VERcjg	avoir
mengez	VERppe	manger
.	PONfbl	.
”	PONpdr	”
Et	CONcoo	et
puis	ADVgen	puis
dist	VERcjg	dire
l'	DETdef	le
Admiral	NOMpro	Ammiral
:	PONfbl	:
“	PONpga	“
Messeigneurs	NOMcom	messeigneur
les	DETdef	le
Mareschaulx	NOMcom	maréchal
,	PONfbl	,
le	DETdef	le
Maistre	NOMcom	maître
des	PRE.DETdef	de.le
arbalestriers	NOMcom	arbalétrier
et	CONcoo	et
aultres	PROind	autre
de	PRE	de
messeigneurs	NOMcom	messeigneur
qui	PROrel	que
cy	ADVgen	ci
sont	VERcjg	estre
,	PONfbl	,
et	CONcoo	et
moy	PROper	moi
en	PRE	en
leur	DETpos	leur
compaignie	NOMcom	compagnie
,	PONfbl	,
avons	VERcjg	avoir
debatu	VERppe	débattre
qu'	CONsub	que
il	PROimp	il
est	VERcjg	estre
necessité	NOMcom	nécessité
que	CONsub	que
vous	PROper	vous
laissiez	VERcjg	laisser
en	PRE	en
ceste	DETdem	cest
frontière	NOMcom	frontière
ung	DETndf	un
homme	NOMcom	homme
chief	NOMcom	chief
de	PRE	de
par	PRE	par
vous	PROper	vous
,	PONfbl	,
qui	PROrel	que
estes	VERcjg	estre
lieutenant	NOMcom	lieutenant
du	PRE.DETdef	de.le
Roy	NOMcom	roi
,	PONfbl	,
qui	PROrel	que
soit	VERcjg	estre
vostre	DETpos	vostre
lieutenant	NOMcom	lieutenant
et	CONcoo	et
à	PRE	à
qui	PROrel	que
les	DETdef	le
aultres	PROind	autre
obéissent	VERcjg	obéir
.	PONfrt	.

La	DETdef	le
guerre	NOMcom	guerre
s'	PROper	soi
en	PROadv	en
fera	VERcjg	faire
mieulx	ADVgen	mieux
et	CONcoo	et
justice	NOMcom	justice
en	PROadv	en
sera	VERcjg	estre
mieulx	ADVgen	mieux
gardée	VERppe	garder
.	PONfrt	.

Car	CONcoo	car
partout	ADVgen	partout
fault	VERcjg	falir
ung	DETndf	un
maistre	NOMcom	maître
,	PONfbl	,
ou	PROrel	où
la	DETdef	le
besongne	NOMcom	besogne
n'	ADVneg	ne
yra	VERcjg	aler
ja	ADVgen	ja
bien	ADVgen	bien
.	PONfrt	.

Et	CONcoo	et
,	PONfbl	,
à	PRE	à
la	DETdef	le
verité	NOMcom	verité
,	PONfbl	,
messeigneurs	NOMcom	messeigneur
vous	PROper	vous
font	VERcjg	faire
dire	VERinf	dire
par	PRE	par
moy	PROper	moi
que	CONsub	que
vous	PROper	vous
ne	ADVneg	ne
povez	VERcjg	pouvoir
mieulx	ADVgen	mieux
que	CONsub	que
de	PRE	de
y	PROadv	y
laisser	VERinf	laisser
le	DETdef	le
Jouvencel	NOMpro	Jouvenceau
pour	PRE	pour
vous	PROper	vous
.	PONfrt	.

Vous	PROper	vous
avez	VERcjg	avoir
veu	VERppe	voir
quel	DETrel	quel
homme	NOMcom	homme
il	PROper	il
est	VERcjg	estre
;	PONfbl	;
tous	DETind	tous
les	DETdef	le
gens	NOMcom	gens
d'	PRE	de
armes	NOMcom	arme
l'	PROper	il
ayment	VERcjg	aimer
;	PONfbl	;
le	DETdef	le
cappitaine	NOMcom	chapitaine
de	PRE	de
Crathor	NOMpro	Crathor
nous	PROper	nous
en	PROadv	en
a	VERcjg	avoir
avertiz	VERppe	avertir
,	PONfbl	,
et	CONcoo	et
si	ADVgen	si
ont	VERcjg	avoir
tous	DETind	tous
les	DETdef	le
cappitaines	NOMcom	chapitaine
de	PRE	de
ceste	DETdem	cest
frontière	NOMcom	frontière
.	PONfbl	.
”	PONpdr	”
Sur	PRE	sur
ce	PROdem	ce
,	PONfbl	,
respondit	VERcjg	répondre
le	DETdef	le
conte	NOMcom	conte
de	PRE	de
Parvanchières	NOMpro	Parvanchières
:	PONfbl	:
“	PONpga	“
Messeigneurs	NOMcom	messeigneur
,	PONfbl	,
je	PROper	je
croy	VERcjg	croire
que	CONsub	que
vostre	DETpos	vostre
parolle	NOMcom	parole
est	VERcjg	estre
la	DETdef	le
voix	NOMcom	voix
du	PRE.DETdef	de.le
Sainct	NOMcom	saint
”	PONpdr	”
“	PONpga	“
Esperit	NOMcom	esprit
:	PONfbl	:
car	CONcoo	car
,	PONfbl	,
en	PRE	en
bonne	ADJqua	bon
foy	NOMcom	foi
,	PONfbl	,
je	PROper	je
le	PROper	il
avoye	VERcjg	avoir
ainsi	ADVgen	ainsi
deliberé	VERppe	délibérer
en	PRE	en
mon	DETpos	mon
couraige	NOMcom	courage
et	CONcoo	et
vous	PROper	vous
en	PROadv	en
vouloye	VERcjg	vouloir
demander	VERinf	demander
vos	DETpos	votre
oppinions	NOMcom	opinion
.	PONfrt	.

Dieu	NOMpro	Dieu
soit	VERcjg	estre
loué	VERppe	louer
que	CONsub	que
vostre	DETpos	vostre
oppinion	NOMcom	opinion
est	VERcjg	estre
la	DETdef	le
mienne	PROpos	mien
!	PONfrt	!

”	PONpdr	”
Tous	PROind	tous
furent	VERcjg	estre
joyeux	ADJqua	joyau
de	PRE	de
ceste	DETdem	cest
conclusion	NOMcom	conclusion
et	CONcoo	et
,	PONfbl	,
sur	PRE	sur
ce	PROdem	ce
,	PONfbl	,
se	PROper	soi
departirent	VERcjg	departir
.	PONfrt	.

Puis	ADVgen	puis
,	PONfbl	,
le	DETdef	le
lendemain	NOMcom	lendemain
au	PRE.DETdef	a
matin	NOMcom	matin
,	PONfbl	,
aprez	PRE	après
la	DETdef	le
messe	NOMcom	messe
,	PONfbl	,
manderent	VERcjg	mander
querir	VERinf	quérir
le	DETdef	le
cappitaine	NOMcom	chapitaine
de	PRE	de
Crathor	NOMpro	Crathor
et	CONcoo	et
lui	PROper	il
dirent	VERcjg	dire
qu'	CONsub	que
il	PROper	il
fit	VERcjg	fïer
venir	VERinf	venir
le	DETdef	le
Jouvencel	NOMpro	Jouvenceau
et	CONcoo	et
les	DETdef	le
cappitaines	NOMcom	chapitaine
et	CONcoo	et
gens	NOMcom	gens
de	PRE	de
bien	NOMcom	bien
de	PRE	de
la	DETdef	le
frontière	NOMcom	frontière
,	PONfbl	,
qui	PROrel	que
estoient	VERcjg	être
à	PRE	à
la	DETdef	le
ville	NOMcom	ville
,	PONfbl	,
et	CONcoo	et
que	CONsub	que
le	DETdef	le
conte	NOMcom	conte
de	PRE	de
Parvanchières	NOMpro	Parvanchières
voulloit	VERcjg	vouloir
parler	VERinf	parler
à	PRE	à
eulx	PROper	eux
.	PONfrt	.

Et	CONcoo	et
aucunement	ADVgen	aucunement
en	PROadv	en
toucherent	VERcjg	toucher
audit	PRE.DETcom	à.ledit
cappitaine	NOMcom	chapitaine
de	PRE	de
Crathor	NOMpro	Crathor
touchant	VERppa	toucher
celle	DETdem	cil
charge	NOMcom	charge
qu'	PROrel	que
il	PROper	il
vouloit	VERcjg	vouloir
bailler	VERinf	bailler
au	PRE.DETdef	a
Jouvencel	NOMpro	Jouvenceau
;	PONfbl	;
et	CONcoo	et
lui	PROper	il
donna	VERcjg	donner
charge	NOMcom	charge
de	PRE	de
lui	PROper	il
en	PROadv	en
parler	VERinf	parler
,	PONfbl	,
dont	PROrel	dont
le	DETdef	le
cappitaine	NOMcom	chapitaine
fut	VERcjg	être
bien	ADVgen	bien
aise	ADJqua	aise
;	PONfbl	;
car	CONcoo	car
il	PROper	il
le	PROper	il
aymoit	VERcjg	aimer
comme	CONsub	comme
son	DETpos	son
enfant	NOMcom	enfant
.	PONfrt	.

Et	CONcoo	et
fit	VERcjg	fïer
la	DETdef	le
charge	NOMcom	charge
bien	ADVgen	bien
et	CONcoo	et
voulentiers	ADVgen	volontiers
.	PONfrt	.

Et	CONcoo	et
,	PONfbl	,
à	PRE	à
l'	DETdef	le
après	NOMcom	après
”	PONpdr	”
“	PONpga	“
disnée	VERppe	disner
,	PONfbl	,
amena	VERcjg	amener
le	DETdef	le
Jouvencel	NOMpro	Jouvenceau
et	CONcoo	et
tous	DETind	tous
les	DETdef	le
gens	NOMcom	gens
de	PRE	de
bien	ADVgen	bien
qu'	CONsub	que
il	PROper	il
peust	VERcjg	pouvoir
trouver	VERinf	trouver
de	PRE	de
la	DETdef	le
frontière	NOMcom	frontière
,	PONfbl	,
tant	ADVgen	tant
cappitaines	NOMcom	chapitaine
que	CONsub	que
aultres	PROind	autre
.	PONfrt	.

Adonc	ADVgen	adonc
le	DETdef	le
conte	NOMcom	conte
de	PRE	de
Parvanchières	NOMpro	Parvanchières
fit	VERcjg	fïer
preparer	VERinf	preparer
une	DETndf	un
grant	ADJqua	grant
salle	NOMcom	salle
,	PONfbl	,
qui	PROrel	que
là	ADVgen	là
estoit	VERcjg	estre
,	PONfbl	,
pour	PRE	pour
tenir	VERinf	tenir
conseil	NOMcom	conseil
comme	CONsub	comme
lieutenant	NOMcom	lieutenant
general	ADJqua	général
,	PONfbl	,
et	CONcoo	et
se	PROper	soi
seist	VERcjg	saisir
sur	PRE	sur
son	DETpos	son
siège	NOMcom	siège
,	PONfbl	,
et	CONcoo	et
tous	DETind	tous
seigneurs	NOMcom	seigneur
et	CONcoo	et
chiefz	NOMcom	chef
de	PRE	de
guerre	NOMcom	guerre
environ	PRE	environ
lui	PROper	il
,	PONfbl	,
et	CONcoo	et
dist	VERcjg	dire
les	DETdef	le
parolles	NOMcom	parole
qui	PROrel	que
s'	PROper	soi
ensuivent	VERcjg	ensuivre
:	PONfbl	:
“	PONpga	“
J'	PROper	je
ay	VERcjg	avoir
ouy	VERppe	ouïr
les	DETdef	le
oppinions	NOMcom	opinion
de	PRE	de
vous	PROper	vous
aultres	PROind	autre
,	PONfbl	,
messeigneurs	NOMcom	messeigneur
de	PRE	de
ce	DETdem	ce
payz	NOMcom	pay
,	PONfbl	,
aussi	ADVgen	aussi
celles	PROdem	celui
des	PRE.DETdef	de.le
seigneurs	NOMcom	seigneur
qui	PROrel	que
cy	ADVgen	ci
sont	VERcjg	estre
venus	VERppe	venir
quant	ADVgen	cant
et	CONcoo	et
moy	PROper	moi
,	PONfbl	,
et	CONcoo	et
de	PRE	de
tous	PROind	tous
ensemble	ADVgen	ensemble
,	PONfbl	,
et	CONcoo	et
avons	VERcjg	avoir
appointé	VERppe	appointer
que	CONsub	que
je	PROper	je
m'	PROper	je
en	PROadv	en
dois	VERcjg	duire
retourner	VERinf	retourner
devers	PRE	devers
monseigneur	NOMcom	monseigneur
le	DETdef	le
Roy	NOMcom	roi
et	CONcoo	et
que	CONsub	que
je	PROper	je
doy	VERcjg	devoir
laisser	VERinf	laisser
en	PRE	en
ceste	DETdem	cest
frontière	ADJqua	frontière
homme	NOMcom	homme
de	PRE	de
par	PRE	par
moy	PROper	moi
,	PONfbl	,
à	PRE	à
qui	PROrel	que
tous	PROind	tous
obéissent	VERcjg	obéir
pour	PRE	pour
tenir	VERinf	tenir
justice	NOMcom	justice
